ramp|n. [C] 连接一条道路、一座建筑物等的两部分（其中一个部分比另一个部分位置要高）的一个斜坡
rectangle|n. [C] 长方形，矩形
regular|adj. 形状均匀的，或形状端正整齐的
ring|n. [C] 环形的标记或形状。如眼圈、站成的一圈。此时和circle有交集，二者可以互换使用（如stand in a circle可换成stand in a ring）
rough|n. [C] [术语] 绘画或设计的第一版（完成得比较快且有很多细节需要完善的），即草稿；草图
round|adj. 1 圆形的；环形的；球形的。是此义的一个常规用词，最为常用
round|adj. 球形的
round|adv. [尤英；美常用around] 周长
rounded|adj. [常用于名词前] 圆形的
screw|adj.（盖子、配件）带螺旋的
section|n. [C] 剖面图；断面图；截面图
sector|n. [C] [几何学] 扇形
segment|n. [C] [几何] 从圆形中分离出来的一部分，即弓形、圆缺
semicircle|n. 1 [C] 几何学中可指半圆
shape|n. [C, U] 某事物的形状；外形；样子；呈…形状的事物
shaped|adj. 具有某种形状的
short|adj.（空间长度）短的（可指本来就短的，也可指比通常要短的）
side|n. 1 [C] 某事物的一个扁平侧面（非顶端或底端；也非前面或后面）
silhouette|n. [C] 物体的形状
skew|vi. [英] 以一定角度移动或躺下（尤指不正常的姿势），如偏离、倾斜
slant|vt.&vi.（使）倾斜、歪斜
slope|n. 1 [C] 倾斜的平面；土地的斜坡
snub|adj. [只用于名词前]（鼻子）短平而上翘的
solid|adj. 几何学中可指立体的，立方的（而非平面的）
solid|n. [C] 几何学中可指立体图形
span|n. 1 [C] 宽度
sphere|n. [C] [几何] 球；球体；球形
spiral|n. [C] 螺旋的形状或样式
spot|n. [C] 某事物表面上的斑点（常为小的圆形有色区域，可以是颜色与周围不同的斑点，也可以是其他感觉上与周围不同的斑点）
spread|n. [C, usually sing.] spread (of sth)（某事物所覆盖的）面积。不常用
spread|n. [C, usually sing.] spread (of sth)（某事物的）宽度
square|adj. 1 几何学中可指正方形的
square|adj. square (with sth) 不用于名词前，指与…在同一水平线上的，或与…平行的。此时不太常用
stature|n. [U] 一个人的身高、个子
streak|n. [C]（与周围颜色不同的）条纹、条痕
stripe|n. [C]（与周围颜色不同的）条纹、线条
swirl|n. [C] 螺旋或旋涡状的图案
symmetry|n. [U]（某事物的两个部分或两侧在尺寸和形状方面）对称
tangent|n. [C] [几何学] 切线
thickness|n. [U, C] 宽度
thickness|n. [sing.] 最深处
tilt|vt.&vi.（使）变得倾斜、倾侧
tip|vt.＆vi.（使）倾斜，与tilt相同
trapezium|n. 1 [C] [英] [美用trapezoid] [几何学] 梯形
tread|n. [C, U]（鞋底或轮胎外面凸起的）花纹
triangle|n. 1 [C] 三角形；三角形物体
uneven|adj. 没有规则的尺寸或形状的
upright|adj. 1（人）直立的（可以是站直，也可以是坐直的，而非躺下或背部弯曲的）
vein|n. [C]（石头、木头、奶酪上的）纹理、纹路
vertical|adj. 1（线、杆等）与一个水平面垂直的，或（在一个图片等中从顶部到底部）竖直的，相当于perpendicular
wide|adj. 1（从一边到另一边）宽的；宽阔的
width|n. 1 [U, C] 宽度
wreath|n. [C] [文学]（烟、云等的）圈
