host|n. [sing.] the Host 可指基督教会圣餐仪式上已被祝圣而成为圣体的那块面包
hymn|n. [C] 赞美诗，圣歌（尤指基督徒唱的颂扬上帝的歌）
icon|n. [C]（也可用ikon）（东正教的）圣人画像，即圣像
immortal|n. [C] 神；永生不灭者
incense|n. [U] 香，尤指宗教仪式用的香
infinite|n. [sing.] the infinite可指上帝
islam|n. [U] 伊斯兰教
islam|n. [U]（统称）伊斯兰教徒
judaism|n. [U] 犹太教
kosher|adj.（食物）合乎犹太教的教规要求的
lady|n. [sing.] Our Lady作为标题，用于指圣母玛丽（基督的母亲），尤用于罗马天主教
lay|adj. 在基督教堂里没有正式职位的，即平信徒的；在俗的；俗家的
living|n. [C] [英]（尤指旧时）有薪俸和住房的牧师职位
lord|n. 1 [sing.]（通常用Lord）用于称呼上帝或基督，如主
martyr|n. [C] 宗教的殉道者
mass|n. [C, usually sing.] Mass 可指基督教的一种仪式，即弥撒
master|n. [C] Master用作一种称谓，指对宗教导师或领袖的一种称呼，即大师，师傅
medium|n. [C] 自称能够在死者与生者之间传递信息的人，可叫做通灵的人或灵媒
metropolitan|n. [C]（东正教和天主教的）大主教
minister|n. [C] 某些新教教会的牧师
ministry|n. 1 [C] the Ministry为单数名词，指宗教（尤指基督教的新教）的全体牧师
mission|n. [C, U]（尤指在海外的）传教，布道
mission|n. [C, U]（尤指在海外的）布道团
mission|n. [C] 布道或传教的地点
missionary|n. [C] 去外国传播基督教的人，即（基督教）传教士
monastery|n. [C]（男性修道者一起居住的）修道院、寺院
monk|n. [C]（住在寺院、不结婚、没有个人财产的）僧侣、修道士
monster|n. [C]（传说中虚构的又大又丑又吓人的）怪物、怪兽
mother|n. [sing.] 对女修道院院长的尊称
muslim|n. [C] 伊斯兰教徒，即穆斯林
novice|n. [C] 见习修士(或修女)
offer|vt. [正式] offer sth/sb (up) (to sb) 把某事物给上帝或神灵，即奉献、祭献。但其宾语还可以是祈祷（即向神“献上”祈祷，旨在祈求神的保佑）
offering|n. [C]（用于祭祀神灵的）祭品、供品
order|n. [C] 生活在一个宗教社区里的一群人，尤指和尚或尼姑
orthodox|adj. Orthodox 指东正教的
orthodoxy|n. [U] Orthodoxy可指正教会（即Orthodox Church，是东正教的国际通称，也可叫Eastern Orthodox Church）；也可指正教会的信仰与做法
paradise|n. 1 [U]（通常用Paradise）某些宗教里可指天国、天堂。相当于heaven
passion|n. [sing.] the Passion 指基督教中耶稣的受难
pastor|n. [C] 尤指非英国国教（如某些新教教会）的牧师
pastoral|adj. 有关圣职人员对个人幸福的关怀的，即牧灵的，牧师的，教牧的
penance|n. [C, usually sing., U] ~ (for sth)（尤指在某些宗教中）补赎；悔罪；忏悔
persuasion|n. [C, U] 宗教信仰
petition|n. [C] [正式] 对神灵做的祈祷
pilgrimage|n. [C, U]（宗教的）朝圣之旅
plate|n. [sing.] 常用the plate，指教堂内用于接收人们所捐钱款的一个扁平盘子
pope|n. [sing.]（通常用the Pope）（罗马天主教的）教皇
praise|n. [U] 对上帝的颂扬或赞颂。与glory未见明显区别
pray|vt.＆vi. pray (to sb) (for sb/sth) 对上帝讲话（尤指为表示感谢或祈求帮助），即祈祷，祷告
prayer|n. 1 [C] prayer (for sb/sth) 对神灵所说的表示感谢或祈求帮助的话语，即祈祷的内容
prayer|n. [pl.] prayers定期进行的一种宗教祈祷会（人们在该集会中念祈祷词）
preacher|n. [C] 传道者；牧师
priest|n. 1 [C]（基督教）教士；（天主教）神父；（英国圣公会）牧师；（东正教）司铎
prior|n. [C] 小修道院院长；大修道院副院长
prophet|n. 1 [C]（基督教、犹太教和伊斯兰教的）先知（即被神送到人间，向人们传达神谕的一个人）
prophet|n. [pl.] the Prophets可指（《〈圣经〉旧约》和《希伯来圣经》中的）先知书
pundit|n. [C]（印度教的）祭司，哲人，相当于pandit
religion|n. [U, C] 宗教（包括宗教信仰和宗教活动）（此时不可数）；某一种宗教或宗教派别（此时可数）。是此义的常规用词
religious|adj. 1 只作前置定语，指与宗教或某一宗教有关的，即宗教的。是此义的常规用词
response|n. [C, usually pl.] ~ (to sb/sth) 礼拜仪式中的人们唱咏或讲话以应答牧师的唱咏或讲话，即答唱咏，启应经
retreat|n. [U, C] 某人的宗教静修
revelation|n. [C, U]（上帝的）启示，即对上帝意旨的揭示，或揭示出的上帝意旨
revival|n. [U]（复兴基督教信仰的）奋兴布道会
ritual|n. [C, U] 仪规，尤指涉及很多固定程序的宗教仪式
sabbath|n. [sing.]（常用the Sabbath）（犹太教和基督教的）安息日（即一周中人们休息并做宗教礼拜的日子，犹太教定为星期六，基督教定为星期日）
sacred|adj. 与上帝或神有关的（具体可指与宗教有关的，或用于宗教仪式的）；被认为神圣的
sacrifice|n. [C, U] sacrifice (to sb) 向神献祭品（祭品常是以某种方式宰杀的动物等）；也可指被献祭的动物等（此时相当于victim）
sanctuary|n. [C] 最神圣的一座建筑物（或建筑物的一部分），即圣所；圣殿
scripture|n. 1 [U] Scripture（也可用复数形式的Scriptures）可指《圣经》
sect|n. [C] [有时贬]（宗教）派别
secular|adj. 1（与宗教相对的）世俗的
see|n. [sing.] [正式] 主教（或大主教）教区；主教（或大主教）权限；牧座
