housewife|n. [C]（当其丈夫或伴侣出去工作时）在家做反、打扫房间、照顾孩子等的一个妇女，即家庭主妇
husband|n. [C]（也可用非正式的hubby）一个女子所嫁的男子；或一个已婚男子。即丈夫
illegitimate|adj. 非婚生的；私生的
immediate|adj. [只用于名词前]（关系）直系的
infancy|n. [U] 婴儿期、幼儿期
infant|n. 1 [C] [正式或术语] 婴儿、幼儿
inmate|n. [C]（收容所的）一个居住者
issue|n. [U] [法律] 子女、子嗣
it|pron. 用作主语或宾语。用于指一个婴儿（尤指性别未知的婴儿）
item|n. [C] 一对有亲密关系或性关系的人
junior|adj.（缩写为Jnr或Jr.）（尤其在美国）置于同名父子中儿子的姓名之后（以避免混淆）
junior|n. [sing.] [美，非正式] 一个人的年幼的儿子
juvenile|adj. 1 [正式或法律] [只用于名词前] 少年的、未成年的
keep|vt. [英] 供养（某人的生活），养活（如为其花钱买食物等）
kid|adj. [尤美，非正式] kid sister/brother 一个人的妹妹或弟弟
kid|n. [C] [非正式] 孩子；年轻人
kin|n. [pl.] [旧时或正式] 统称家属、亲属
kindred|n. 1 [pl.] [旧时或正式] 统称家人、亲属
lane|n. [sing.] in the fast ~ 紧张而刺激的生活
late|adj. 只用于名词前，接近一个人的生命的末尾的
lead|vt. 过某种生活
lesbian|n. [C] 女同性恋者
life|n. 1 [U] 人的生活经历或活动
life|n. [C, U] 一个人从生到死的一段时间，即一生，终身，寿命；还可指一生中的一个部分
lifestyle|n. [C, U] 生活方式
lifetime|n. [C] 一个人的一生时间
lineage|n. [U, C] [正式] 某人的世系、家系、血统
little|adj. 只作前置定语，指年幼的，幼小的
live|vt.＆vi.（以某种方式）生活
living|n. [U] 生活方式；生活质量
lover|n. [C]（婚外的）情人，情侣
maintain|vt. 通过给与金钱、食物等来供养…很长一段时间
man|n. [C]（有时含贬义）丈夫、情人或男友
manhood|n. [U]（男性的）成年，成年时期
marriage|n. 1 [C] 妻子和丈夫之间的法律关系，即结婚，婚姻。是此义的常规用词
married|adj. 1 已婚的
marry|vt.＆vi. 成为某人的丈夫或妻子，与某人结婚
match|n. 1 [sing.] 相配的人
match|n. [C] [旧时] 婚姻
mate|n. [C] [非正式] 丈夫、妻子或其他性伴侣
mature|adj. 1（儿童或年轻人）行事像成年人似的，成熟的，明白事理的（可表赞许）
maturity|n. 1 [U]（人）成熟
mellow|adj.（人）由于年龄和阅历而沉着理智的，即成熟的、老练的
minor|n. [C] [法律]（未到法定成年年龄而无需负法律责任的）未成年人（在英国和美国多数州指未满18岁的人，在法律上仍然视为儿童）
mistress|n. [C] 男子（尤指已婚男子）的性伴侣，如情妇
mom|n. [C] [美，非正式] 妈妈
mommy|n. [C] [美，非正式]（儿语）妈咪
monkey|n. [C] [非正式] 顽皮的孩子，淘气鬼。是一个形象化用法
mother|n. [C]（孩子或动物的）母亲，妈妈
mouth|n. [C] 需要食物来供养的人
mum|n. [C] [英，非正式] 妈妈
mummy|n. [C] [英，非正式]（儿语）妈咪
nanny|n. [C]（也可用nan）[均英]（儿童用语，尤用作称呼）奶奶；姥姥
natural|adj. 1 只作前置定语，（父母或其子女）有血缘关系的，即亲生的
near|adj. near relative/relation（用于描述亲属关系）近亲的。与close未见明显差别
nephew|n. [C] 兄弟（或姐妹）的儿子；丈夫（或妻子）的兄弟（或姐妹）的儿子。即侄子；外甥
nest|n. [sing.] 家，强调所居住的一个安全的地方，即安乐窝
niece|n. [C] 兄弟（或姐妹）的女儿；丈夫（或妻子）的兄弟（或姐妹）的女儿。即侄女；外甥女
nurse|vt.＆vi.（妇女或某些雌性动物）给婴儿哺乳
nurture|vt. [正式] 在某人生长发育的时候对其进行养育
of|prep. 出身于（某个背景）
off|prep. 靠某种食物或资金来源等生存
old|adj. 1 年老的，年纪大的，不再年轻的
old|adj. be ... years, months, etc. old 年龄为…
origin|n. [C, U]（也可用复数的origins）一个人的社会和家庭背景，如出身、身世
orphan|n. [C]（父母均去世的）孤儿
page|n. [C] 婚礼上帮助并跟在新娘后面的一个小男孩
parent|n. [usually pl.] 一个人的父亲或母亲。是此义的常规用词
parentage|n. [U] 一个人的父母的出身、家世
parenthood|n. [U] 作为父母的身份或状态
partner|n. [C] 配偶或性伴侣。与couple相比，partner更强调各方的合作属性
partnership|n. [C, U] ~ (with sb) 两个人之间的伴侣关系
pedigree|n. [C, U]（尤指重要的）某人的家族历史
pink|adj. [英] 只用于名词前，与同性恋者有关的
place|n. [sing.] [非正式] 某人的家
pop|n. [sing.] [英，非正式] 爸爸（尤用作称呼）
private|adj. 常作前置定语，指与工作或官职无关的，即私人的
progenitor|n. [C] [正式]（人的）祖先
progeny|n. [pl.] [正式或幽默] 人的孩子
proposal|n. [C] 正式求婚
propose|vt.&vi. ~ (sth) (to sb) 求婚
proposition|vt. 直接向某人提出性要求，即求欢
puberty|n. [U] 人的性器官开始发育的时期（此时具有了生育能力），即青春期、性成熟期
queen|n. [C] 对行为女性化的一个男同性恋者的冒犯性称呼，为非正式用法，禁忌语
queer|adj. [禁忌语；俚语] 同性恋（尤指男同性恋）的、娘儿们似的、妖里妖气的
raise|vt. [尤美] 抚养或养育（孩子或幼小的动物，直到其能照顾自己）
rear|vt. [常用被动式] 抚养、养育（孩子或动物，直到其成年）
related|adj. ~ (to sth/sb) 属同一家族的；有亲属关系的
relation|n. [C] 一位亲属或亲戚，与relative在词义上未见明显差别
relationship|n. [C, U] relationship (between A and B) 一个家族之间的两人之间的关系，如血缘关系、姻亲关系
relative|n. [C] 亲戚，亲属。是此义的常规用词，最为常用
remote|adj. 只用于名词前，（人的亲戚）远房的，亲戚关系较远的。与distant在词义上未见明显差别
romance|n. 1 [C]（通常指短暂的）浪漫史，爱情关系，风流韵事
romantic|adj. 1（人）浪漫的，富于浪漫气息的，有情调的
root|n. [pl.] roots 可表示某人或其家族的根，是此人对其出生地或原籍的一种情感寄托
scratch|vt. scratch a living 勉强维持生计
seed|n. [U] [文学] 某个男人的全部后代，即子孙、后裔
senior|adj. 父子同名时，加在父亲的名字前以免搞混
senior|n. [C] [尤美] 相当于senior citizen，即老年人
senior|n. [C] 较年长的人
seniority|n. [U] 年长
sibling|n. [C] [正式或术语] 兄弟姐妹
side|n. [C] 亲属中的母系或父系
single|adj. 指人未婚或未有恋爱关系的，即单身的
sister|n. [C]（同父母的）姐姐或妹妹
small|adj. 年幼的，幼小的
son|n. [C] 儿子。是此义的常规用词
split|vi. split (from/with sb) 离开某人并和其断绝关系
squeeze|n. [sing.] [非正式；尤美] 男朋友或女朋友
stock|n. [U] of farming, noble, French, etc. ~ 表示拥有所提到的某类家族或祖先，如家族、出身
straight|adj. [非正式] 异性恋的
