ground|n. [C, usually sing.] [美] 电线中的接地线，相当于英式英语的earth
ham|n. [C] 无线电通讯爱好者（而非以之为工作的人）
head|n. [C] 单数名词，a head of steam表示在一个密闭空间内的蒸汽压力
heat|n. 1 [U, sing.] 高温，即热
heat|n. [U, C, usually sing.] 温度的水平。远不如temperature常用
impact|n. [C, usually sing, U] 物体之间的撞击力
impetus|n. [U] [术语] 促使某事物移动的力量或能量，可称为动量、动力、惯性
impulse|n. [C] [术语] 电脉冲；神经脉冲
incidence|n. [U] [物理学] 入射（角）
inertia|n. [U] [物理学] 惯性
insulate|vt. ~ sth (from/against sth) 用某种材料来隔绝电流，即绝缘
insulated|adj. 有绝缘保护的
interference|n. [U]（无线电信号受到的）干扰
jam|vt. [术语] 干扰无线电或电子信号，使其难以被接收或被清晰听到
juice|n. [U] [美，非正式] 电
laser|n. [C]（产生激光的）激光器
lead|n. [C] [英] 电线或导线（其外表常用塑料包裹）
lever|n. [C] 杠杆；撬棍
leverage|n. [U] [术语] 杠杆作用；杠杆力
lift|n. [U] 飞行器飞行时向上的提升力
liquid|n. [U, C] 液体（例如水或油）。是“液体”的常规用词，是一种统称。本组其它词都是一种liquid
live|adj. 常作前置定语，（电线或其他电器装置）直接连接着电源的，通电的，带电的
load|n. [C, usually sing.] 指某事物所能承载的重量，即载重量
load|n. [C] 电力领域中可指某个时间的供电量
magnet|n. [C] 磁铁、磁石、吸铁石
magnetism|n. [U] 磁性；磁力
mass|n. [U]（物理学术语）质量
material|adj. 只作前置定语，与物质世界相关的，而非与思想或精神相关的。与physical词义极其相近，但physical强调“存在于现实世界”，而material则表示“与现实世界有关”，如果非要做出区别，那么可以说material与现实世界的关系更为松散自由，只要“有关”即可
material|n. [U, C] 固态物质。一般是一种微观概念，物理尺寸较小，常为颗粒状
matter|n. 1 [U] [术语]（构成世界上一切事物的）客观物质（是一种统称，与精神相对）
melt|vt.&vi.（使）因加热和变成液体，即（使）熔化、融化
microwave|n. [C] [术语] 微波（一种电磁波）
modem|n. [C] 用一条电话线将不同的计算机（或计算机系统）联接起来以传递数据的一种装置，即调制解调器
momentum|n. 1 [U] 物理运动的冲力
motive|adj. [术语] 引起移动的、导致运动的
negative|adj. [术语]（电）负极的、阴极的
net|adj. 只作前置定语，指（重量）净的
neutral|adj.（缩写为N）不带电的，即中性的
noise|n. [U] [术语] 干扰性的电子信号
nuclear|adj. 物理学中可指原子核的，核子的
outlet|n. [C] [美] ~ (for sth)（通常指墙上的）电源插座，相当于英式英语的socket
pan|n. [C]（天平两侧中任何一侧的）秤盘
physical|adj. 1 只作前置定语，指事物现实存在的，可以感知到（如被看到、听到或触摸到等）的，而非存在于人的思想中的
physicist|n. [C] 研究物理学的科学家，即物理学家
pin|n. [C] 电器插头上突出来的金属之一（可插在插座里），即管脚
plug|n. 1 [C] 电器设备的插头
