ace|n. [C]（在网球运动中，对手接不到发球的）发球得分，即爱司球
snooker|n. 1 [U] 斯诺克（供两人打的落袋台球，打球人用球杆打白色母球，按一定顺序撞15个红球和6个其他颜色的球入袋）
soccer|n. [U] 尤用于美式英语。专指“英式足球运动”（即常规意义上的足球运动）。也就是说，如果一个美国人说soccer，就是指通常意义上的足球运动。如果美国人说football，就是指美国的橄榄球运动
spin|n. [U] 在网球和板球运动中，可指所投出或击出的旋转异常快速的球
sport|n. 1 [U] [英；美用sports] 为愉悦之目的所做的体育活动，体育运动
spot|n. [C]（竞争或赛事中的）一个位置排名
spot|vt. [美] 在体育运动中对对手（或其他运动队）让步
sprint|vt.&vi. 短距离快速奔跑或游泳，即冲刺
sprint|vt.&vi. 短距离快速游泳，即冲刺
spurt|vi. 短暂地加速前进（以更快到达某地），如冲刺
squad|n. [C] 体育运动代表队
squash|n. [U]（也可用正式的squash rackets）软式墙网球；壁球
stable|n. [C] 由同一人所拥有并训练的一群赛马
stadium|n. [C] 大型体育场馆或运动场馆（其四周环绕着成排的座位或建筑物）
stake|n. [U] stakes 用于某些赛马的名称，即…赛
stand|n. [C]（露天）体育场或竞技场的看台
start|n. [C, usually pl.] 体育运动中可指某人所参加的比赛（如速度比赛）
start|n. [C, usually sing.] 在速度比赛的开始阶段，某人相对于其他参赛者所具有的一个时间或距离上的提前量
start|n. [sing.] the start 可指速度比赛的起点之地
starter|n. [C] 参加速度比赛开始阶段的人、马、汽车等（不一定坚持到比赛结束）
starter|n. [C] 速度比赛的发令员
steal|vt. 棒球中偷垒，即某个选手在己方的其他选手击球之前就跑向下一垒，以便获取得分优势
step|n. [U] 常构成复合词，健身运动中的踏板操
stick|n. [C] 一些体育运动中（用于击球或控制球）的球棍。与bat主要有两点不同，第一，stick形状上仅为棍状；第二，stick不仅可以击球，还可以控制球
straight|n. [C] [美也用straightaway]（赛道的）直道部分；直道
stretch|n. [C, usually sing.] 速度比赛终点的直道部分。相当于straight
strike|n. 1 [C] 棒球中可指击球失败
strike|vt. 击球或踢球等，为正式用法
string|n. [C] 网球等球拍的弦
strip|n. [usually sing.] [尤英]（运动队比赛时穿的）队服
stroke|n. 1 [C] 游泳时的一个划水动作
stroke|n. [C]（用球棒或球拍等的）击球
stroll|vi.（轻松缓慢地）散步、溜达
stroller|n. [C] 散步者
substitute|n. [C] 也可用非正式的sub，一场体育比赛中的一名替补运动员（其代替其他人出场）
support|vt. [英] 喜欢某一支运动队、观看其比赛等，即支持
surf|vt.&vi.（常用go surfing）进行冲浪运动
sweat|n. [pl.] [尤美，非正式] 长袖、宽松、保暖、有弹性的运动服或运动裤
swim|vt. 参加游泳比赛
swim|vt.＆vi.（人）游泳
swimmer|n. [C] 会游泳的人；游泳者（尤指游泳运动员或游泳爱好者）
swing|n. 1 [C] 挥动或摆动球拍、球棒等
tackle|n. [C] [美]（美式足球中的）负责以擒抱方式进行的阻截的队员
tackle|vt.&vi.（在足球、曲棍球等运动中）抢球
take|vt. 体育比赛中的运动员从一个固定（或被各方同意的）位置踢出或扔出球
tape|n. [C] 速度比赛的终点线（为一条带状材料）
team|n. [C]（游戏或体育运动的）团队。是此义的常规用词
tennis|n. [U] 网球运动
terrace|n. [pl.] [英] terraces 可指足球场的阶梯看台
tie|n. [C] [英] 体育比赛（尤指足球比赛）的淘汰赛
time|vt.（在一场体育比赛中）在某一时刻击球（或踢球）
top|vt. [文学] 达到山等的顶端
touch|n. [U] 在足球或橄榄球运动中可指边线以外的区域
touchdown|n. 1 [C]（在橄榄球运动中）（在对方球门线后）持球触地
tour|n. [C]（一个体育运动队）到不同的地方所参加的巡回比赛
tourist|n. [C] [英] 在国外参加一系列正式比赛（可称为巡回比赛）的一支体育运动队的一个成员
tournament|n. [C] 一种体育比赛（具体含义为一群运动员或队伍进行比赛，每场比赛的获胜者可以晋级到下一场，失败者则离开，直到剩下最后一名运动员或一只队伍），可以叫锦标赛
track|n. [C] 美式英语中可指径赛运动
track|n. [C]（人、动物、汽车、自行车等）赛跑或赛车等运动的跑道
train|vt.＆vi. train (sb) (for/in sth)进行训练，尤指进行体育训练；还可指以此种方式来训练人或动物。常指为提高体育技能而“训练”，也可指为保持健康而“锻炼”。是此义的常规用词
trainer|n. [C, usually pl.]（也可用training shoe）[均英]（美式英语用sneaker）运动鞋；便鞋
trainer|n. [C] 教人或动物某项运动技能的一个人，如驯兽师；教练员
training|n. [U]（为参加体育比赛或保持健康而进行的）体育训练或锻炼
trap|n. [C] [美] 高尔夫球场上的沙坑，相当于bunker
trap|n. [C] 捕捉动物所用的一件装备
trap|n. [C] 赛狗运动中所用的一种隔栏（赛狗开始时把狗从中放出）
travel|vi.（篮球）带球走步（是一种犯规行为）
trial|n. 1 [C] 常用复数，英式英语中可指体育运动中的预赛或选拔赛（美国用tryout）
try|n. [C] 橄榄球运动中可指在对方球门线后带球触地得分
turf|n. [U] [非正式，尤美] sb’s ~（自己的）赛场
turf|n. [sing.] the turf可指赛马运动
turn|n. [C] [旧时] 简短的散步
turn|vt.＆vi. turn (sth) (around) 指比赛出现逆转；使比赛出现逆转（即另一选手或队伍开始赢得比分或赢得比赛等）
tussle|n. [C] ~ (for/over sth) 争球
umpire|n. [C] [也可用美式非正式的ump]（网球、棒球等运动中的）裁判员
union|n. [C] 具有相同兴趣的一群人（或组织）所组成的一个体育协会或体育俱乐部
volley|n. [C] 某些体育运动（网球或足球）中球落地前的截击，即截击空中球、凌空击球（或踢球）
volleyball|n. [U] 排球运动
walk|vt.＆vi. [英] 以走路为乐趣，即散步，或徒步旅行，相当于go walking
warn|vt. 在体育运动中某人因违反规则而被给予警告。是此义的常规用词
wedge|n. [C]（击高尔夫球的）楔形铁头球杆
weight|n. [C] 体育运动中用于锻炼力量的一块金属，如杠铃片；哑铃等
whiff|n. [usually sing.] [美]（在高尔夫和棒球运动中的）挥空棒（即击球未中）
white|n. [pl.] whites（进行一些体育运动时所穿的）白色运动服
wing|n. [C] 在足球和曲棍球运动中可指边锋队员
wing|n. [C] 在足球和曲棍球运动中可指运动场地的远端边侧
winner|n. [sing.] 体育运动中可指制胜的一分或一记入球
wood|n. [C] 保龄球运动中的木瓶子
wood|n. [C] 高尔夫球杆（旧时常由木头制成）
workout|n. [C] 为保持健康所做的体育锻炼
wrestle|vt.＆vi. wrestle (with sb) 摔跤，或以摔跤为体育运动
yoga|n. [U] 瑜伽术
