above|prep.（空间）在…上面；到…上面
top|n. 1 [C] 某事物的最高部分或最高点，即顶端、顶部
under|adj. 只作前置定语，较低的；下面的
under|prep. 1 在…的下面；到…的下面；通过…的下面
underground|adj. 只作前置定语，地面以下的，即地下的
underlying|adj. [只用于名词前] 在其它事物的表面下的
up|adv. 1 向（或在）一个较高的位置，即向上；在上面
upon|prep. [正式，尤英]（具有文学性）在…上，与on同义，通常较正式
upper|adj. 1 只用于名词前，位于其他事物上面的（尤指位于同类事物的上面，或一对事物的上面）
upper|adj. 只用于名词前，在（或接近）某事物顶部的
upward|adj. 只用于名词前，向上的，朝上的，向高处的
verge|n. [C] [英] 道路等边缘的狭窄草地（通常长满了草和花）
wall|n. [C] 中空物体（如身体器官或动植物细胞等）的外壁
within|prep. [正式] 在…里面或内部
