above|prep.（声音在音量或清晰度上）超过（另一种声音）
reflect|vt.（从一个表面上）反射（声音等）
reflection|n. [U]（声的）反射
report|n. [C] 爆炸声；枪炮的射击声。相当于bang或blast
ring|vt.＆vi. 铃（或钟）发出声音；使铃（或钟）发出声音
rise|vi.（声音）提高，增强
roar|n. [C]（风或海的）呼啸声、（机器的）隆隆声
roll|n. [C] roll (of sth) 低沉而持续的声音，如隆隆声
rough|adj.（听起来）令人不快或不舒服的
rumble|vi.（某事物）发出持续而低沉的声音
rustle|vt.&vi.（使）（纸张、叶子等移动或互相摩擦时）发出轻轻的摩擦声或沙沙声
scrape|vt.&vi.（使）发出刺耳的刮擦声
scratch|vi.（用尖锐物体来摩擦、抓或划另一物体来）发出刺耳的声音
scream|vi. 发出大而尖的声音；快速移动而发出这种声音（如呼啸）。类似于screech
screech|vt.&vi. 发出刺耳的尖声；尖声地说
sharpen|vt.＆vi. 声音变得尖锐刺耳；使声音变得尖锐刺耳
shrill|adj. 1（声音或嗓音）尖厉刺耳的
sigh|vi. [文学]（尤指风）发出一声长长的叹息一样的声音，如悲鸣
sing|vi. 发出响亮的哨子声，即发嗖嗖声，或呜呜作响
sink|vi. 声音变低或变小，相当于fade
slap|n. [sing.]（手掌的）拍打声；类似拍打的声音
smack|n. [C, usually sing.] 啪的一声、砰的一声
smooth|adj.（嗓音或音乐）悦耳的，圆润的，没有任何粗糙感或令人不悦的声音的
snap|vt.&vi.（使）快速移动到某个位置，尤指同时发出突然而清脆的响声（如啪地一声打开或关闭）
soar|vi.（音乐）音量猛地增大，音调陡然升高
soft|adj.（声音）轻的，轻柔的（常是悦耳的），相当于quiet
sound|n. 1 [U]（能量意义上的）声（是一种物理表述）
sound|n. [sing.] the sound of sth 通过听或看（从…处）所得到的感觉、印象
spatter|n. [sing.]（也可用spattering）~ (of sth)（液体或少量某事物）洒、溅在一个表面上时发出的声音，如噼啪声、飞溅声
speaker|n. [C]（收音机、电脑或音乐设备上）声音出来的地方，即扬声器，喇叭
splash|n. [C] 某事物撞击液体的声音（如扑通声）；或液体撞击某事物的声音（如泼溅声）
squeak|vi. 发出短而尖（但不是很大）的声音
squeal|vi. 发出长而尖的声音
stamp|n. [sing.] 跺脚声
storm|n. [C] storm of sth 由激动或兴奋而爆发出的暴风雨般的响声
stroke|n. [C] 钟或铃报时的一个响声
strong|adj. 指声音强烈的，易于被感知的
