absorb|vt. 用尽大量时间，即耗费，消耗
simultaneous|adj. 与其他事同时发生（或同时被完成）的
since|adv. 1 与现在完成时或过去完成时连用，表示从（过去的某个时间）以后（到随后的过去的某个时间或到现在）
since|prep. since when? 用于表示对…气愤，即何曾，什么时候
since|prep. 与现在完成时或过去完成时连用，表示从（过去的某个时间）以后（到随后的过去的某个时间或到现在）
slip|vi. 时间快速而安静地飞逝
slow|adj. 不用于名词前，钟表走得慢的
somewhere|adv. 大约（在某个时间）
span|vt. 持续一整段时间；包括一整段时间内的所有部分
spend|vt. spend sth (on sth) / spend sth (doing sth/in doing sth) 花费时间，度过。其主语是人。是此义的常规用词，最为常用
stagger|vt.（使原本同时发生的一些事情）在时间上错开
staggered|adj. 时间上交错的、错开的（不同时发生的）
stand|vi. 1 汽车、火车等停靠在某一地，尤指在等待出发的过程中
stretch|vi. 延续一段时间或时期
stretch|vt. 大量地使用时间，如耗尽、竭尽
strike|vt.＆vi. 敲钟、鸣钟或报时，相当于chime
sustainable|adj. 1（对自然资源和能源的利用）可持续的，不破坏环境的
synchronize|vt.&vi. ~ (sth) (with sth)（使）与某事同时发生；（使）与某事物以相同的速度移动
take|vt.＆vi. 需要一定的时间，耗费时间
than|prep., conj. 用于表示一事紧跟另一事发生，即就
then|adv. 在一系列…中用于引出下一项，即接着，然后
through|prep. 直到…时候（所指的时间也包括在内）
tick|vi. tick (away)（钟表等）发出规律性的、重复的嘀嗒声（以记录时间的流逝）
till|conj., prep. 直到（某个时间或事件）为止，直到…才…（不如until正式，书面语中不常用，且不用于句首）
time|n. 1 [U]（以分钟、小时、天等计量的）时间
time|n. [sing.] 生命的期限，或做某事所用的时间总量（即期限）
timely|adj. 及时的；适时的
timetable|n. [C]（对事情进行计划的）时间表，时间安排，时间计划
timing|n. 1 [U, C] 为某事的发生选择时间，如定时、时间的选择；事情发生的特定时间；规划好的时间
to|prep. 1 在某事开始之前
to|prep. 伴随或随同（某事的发生）
together|adv. 同时。不如meanwhile常用
toll|vt.&vi.（缓慢而有规律地）敲钟，尤指（某人去世后）鸣丧钟
turn|linking verb. 达到或超过（某一年龄或时间）
until|conj., prep.（非正式用法也可用till、til或’til）直到（某个时间或事件）为止，直到…才…。是此义的常规用词
watch|n. [C] 表，手表或（揣在兜里的）怀表
when|adv. 1 用于疑问句，表示什么时候，何时；或什么场合（或情况）下
when|conj. 在（某个时间）之后
when|pron. 什么时候或哪个时间，即何时
whenever|adv. 用于疑问句，意为“何时”（表示惊讶）
while|conj. [北英格兰] 直到…时为止
while|conj. 与（其他事件发生的时间）同时
while|conj. 在某事正在发生的时候，即在…期间，当…的时候（表示一件事是在另一件事发生过程中的某个时间发生），相当于when
while|vt. while sth away 可表示愉快懒散地度过（或消磨）时间
with|prep. 随着…而发生
within|prep. 在某段时间之内；不超出某段时间
worth|n. [U] 能持续一段时间的东西
yet|adv. 1 用于否定句和疑问句，以谈论你认为会发生但尚未发生的事
