quality|n. [C] 英式英语中可指供有品味者阅读的高端报纸
radio|n. 1 [U, sing.] 利用无线电进行节目广播的活动，即无线电广播
radio|vt.＆vi. 用无线电向某人发送消息
rag|n. [C] [非正式，常贬] 质量低劣的报纸，即小报
rating|n. [pl.] the ratings 可指电视或广播节目的收视率、收听率
receive|vt. 1 接收、收看或收听（电视或广播节目等）
reception|n. [U]（无线电和电视信号的）接收效果
relay|n. [C] 一种电子设备，该设备接收广播或电视信号，然后将该信号以更大的功率发射出去，即信号中继设备
relay|vt. relay sth (to sb) 接收并向某人发送信息、新闻等
relay|vt. relay sth (to sb) 播放（电视或广播信号），也可叫转播
report|vt.＆vi. report (on) sth 在报纸、电视等媒体上（以书面或口头的形式）报道新闻事件。是此义的常规用词
reporter|n. [C] 为报刊、广播或电视收集并报道新闻的一个人，如记者。强调记者的报道职能
route|vt.＆vi. 按某条线路来发送信息
send|vt. 发送信息、信号等
signal|n. [C]（例如向收音机或电视机）传输声音、图像或消息等的一系列电波，即信号
signal|n. [C]（向某人或某事物传递信息、指令、警告等所用的）信号，暗号，类似于sign
skinny|n. [U] the ~ (on sb/sth) [美，非正式] 关于…的消息，尤指大众不知道的细节
snippet|n. [C] 一小条消息或新闻
station|n. [C] 常构成复合词，指广播公司或电视公司，以及其播出的节目，即广播电台、电视台
story|n. [C]（报纸、杂志、广播中的）新闻报道，虽然report是“报道”的常规用词，但story不仅在词义上与其难见明显差别，而且story表此义时也很常用
studio|n. [C] 广播或电视节目的演播室，音乐的录音棚
supplement|n. [C] 报纸的增刊（尤指以杂志的形式发行的增刊）
sweep|n. [pl.] [美] the sweeps 可指各电视公司进行的收视率调查（以找出最受欢迎的节目，尤指为计算广告费）
syndicate|n. [C] 报业巨头（即由同一人拥有的若干家报社或杂志社）
syndicate|vt. [常用被动式] 把（电视节目等）出售给多个媒体
tabloid|n. 1 [C]（版面通常比大报小一半的）小报
tap|vt. [尤英] 在电话上安装窃听器（使其通话可被窃听）
telecommunications|n. [pl.] 电信、电讯
telegram|n. [C] 用电信号传递的一则信息，即电报
televise|vt. [常用被动式] 用电视播送
television|n. [U] 播放电视节目的系统、过程或行业，即电视系统；电视学；电视广播业
text|n. [C] 手机短信，相当于text message
title|n. [C] 某一本书或杂志。不常用
tower|n. [C] 常构成复合词，指（电视或无线电信号的）发射塔
transmission|n. 1 [U]（电子数据、电子信号、信息或广播、电视节目的）播送，发射，发送，传输
transmit|vt.&vi. ~ (sth) (from…) (to…) 发送、传输（广播或电视信号、计算机数据或其它电子信息等）
transmitter|n. [C]（尤指无线电或电视信号的）发射机，发射台，发报台
tune|vt. tune sth (in) (to sth) 常用被动式，给收音机、电视等调频率或频道（使其能够接收到某一频率或频道）
weekly|n. [C] 每周出版的一份报纸或杂志，即周报；周刊
wire|n. [C] [非正式；尤美] 电报，相当于telegram
wire|vt. wire sth (for sth) 给…安装窃听器（以窃听其他人之间的谈话），相当于bug
word|n. [sing.] 一则信息或消息。是一个简单用词
