above|adv. 上文或前文
dialect|n. [C, U] 方言
dictionary|n. 1 [C] 词典；字典；辞书
digest|n. [C]（由长文章所压缩而成的）文摘；或文摘汇编。一个digest本身也是一篇完整的文章，只不过是由一篇长文章压缩而成的短文章而已。主体情节、脉络和思想一般并没有改变
discourse|n. [U] [语言学] 作为研究之用的语篇
document|n. [C] 官方或正式的文件（可提供…的信息，或可用作证据或证明），即文件；公文；文献；证件等。是一个基础用词，含义极广
documentary|adj. [只用于名词前] 文件的、文献的、由文件（或文献）组成的
dot|n. [C] 小圆点（尤指打印或印刷出来的点）
dot|vt.（在字母或单词的上方或旁边）加点
down|adv. 1 在纵横填字游戏中可指由上到下（而非由左到右）地读
draft|n. [C] 起草出来的粗略的文件版本，即草稿；草案；草图
draft|vt. 起草或草拟（信件、演讲、书籍等）（英式英语尤用draught）
draught|vt. [尤英] 起草、草拟。相当于draft
dynamic|adj.（动词）动态的（即用于描述一个动作而非状态，且可用于进行时态的，如eat，grow或knock）
ellipsis|n. [C, U] [语言学]（词在句子中的）省略
ellipsis|n. [C, U] 省略号
embed|vt. [常用被动式] 语言学中可指在一个句子中嵌入另一个句子。（在I'm aware that she knows句中，she knows为内嵌句）
emphasis|n. [U, C] 说话或写字时，对某个词或短语的重读
emphasize|vt.（说话时）重读、强调（一个词或短语），即加强…的语气
ending|n. [C] 附着于一个词的主要部分的该词最后一部分，即词尾
endorse|vt.（在支票背面）签名，背书
enter|vt. enter sth (in/into/on sth) 将一些名字、数字、细节信息等输入到一张表、一个本子或一台计算机中，可称为登记，录入，输入等。是此义的常规用词，最为常用
entry|n. [U]（在电脑、笔记本等上）记录、登记或录入信息
enunciate|vt.&vi. 清晰地发音
envelope|n. [C] 用于保存纸张文件的扁平塑料封皮
epigram|n. [C] 诙谐机智的短诗或隽语
episode|n. [C]（小说的）片段或情况
excerpt|n. [C] ~ (from sth) 从文字作品中节选出来的一小段
exclamation|n. [C] 惊叹、感叹；感叹词；感叹句
excuse|n. [C] [美] 家长或医生写的为何一个学生不能去上课或某人为何不能去工作的纸条，即请假条
extract|n. [C] ~ (from sth) 从一本书等中摘录的一小段内容（该内容能让你对作品全貌有个了解）
fall|vi.（重音）落在（某个音节上）
family|n. [C] 一组有关的语言，此时可称为语族
feminine|adj. 1（语法）阴性的
file|n. 1 [C] 装文件用的容器（如文件柜或折叠式的文件夹等）。是此义的常规用词
file|n. [C] file (on sb) 一个文件夹和其中所包含的信息（例如关于某个人或某个主题的档案）
file|vt. file sth (away) 把文件等按某种顺序放置或保存在某个地方（以方便查找）；把一份文件放入文件夹。即把文件等归档
fine|adj. 指词语或话语听起来很重要很华丽，但实际上并没什么实际内容或作用的，即辞藻华丽的，语言华而不实的
flap|n. [C] 语音学中的轻拍音，相当于tap
flap|vt. 语音学中可指发轻拍音
flourish|n. [C]（尤指手写体的）花彩字
fluency|n. [U, sing.]（对一门语言，尤指外语的掌握）流利，流畅
fluent|adj. 1 fluent (in sth) 能够流畅良好地说或写一门语言（尤指外语），即流利的
folder|n. [C]（纸板或塑料材质的）文件夹
foreword|n. [C] 书的前言或序言
form|n. [C] 单词的词形或形式（如单复数或时态等）
free|adj. 在翻译中不拘泥于原文的，意译的
front|adj. 只作前置定语，（元音）舌前位发出的，即舌前的
front|vt.（为强调而将句子的某一部分）前置
future|n. [sing.] the future 将来时
gender|n. [C, U]（语法）（用于某些语言中）性（阳性、阴性和中性，不同的性有不同的词尾等）
generalization|n. [C, U] 概括；归纳；概论（即总体上看起来正确，但细节上并非完全正确的说法）
generalize|vi. ~ (from sth) 概括；归纳
get|aux. 常用作助动词，替代be动词构成被动语态
ghost|vt.&vi. 为某人代写（书籍、文章等）以使其发表
glide|n. [C] [语音学] 滑音、音渡、过渡音
gloss|n. [C] ~ (on sth) 给文章写的注释或评注（以解释难的词或短语）
glossary|n. [C] 某一学科的书籍末尾的（尤指某一篇文章的）词汇表、术语汇编
govern|vt. 一个词对另外一个词或短语的控制，即影响后者的构成或使用
graffiti|n. [U, pl.]（公共场所墙上等处的）涂鸦的文字
graffiti|n. [U, pl.]（公共场所墙上等处的）涂鸦，胡写
grammar|n. 1 [U] 语法规则，也可叫文法
grammar|n. [U] 一个人的语言知识及语言运用
grammatical|adj. 1 语法的
handout|n. [C] 课堂上发给学生的学习资料（如课程要点总结、练习题等）；也可指演讲中发给听众的讲义或提纲
handwriting|n. [U]（用笔所进行的）书写。极不常用
hard|adj.（辅音）硬音的（如字母c或g在cat或go，而非在city或giant等词中的发音）
hatch|vt. 在（图形、阴影等上）画平行或交错的线（以表示该部分是个阴影）
head|n. [C] 短语的中心成分，其和整个短语具有相同的语法功能
hereafter|adv.（也可用hereinafter）（用于法律文件等书面英语中，引出已经提及的人或事物的缩略）在本文件其余部分（或称“以下”）
high|adj.（元音）发音时口型相对闭合的，即闭塞音的
hyphen|n. [C] 连字符
idiom|n. [C] 习语；成语；惯用语
idiom|n. [U, C] [正式]（特定的一些人在某段时期或某个地方所用的）语言和语法
illumination|n. [C, usually pl.]（旧时书上通常用手工绘制的）彩饰，彩图
illustration|n. [C]（书、杂志等文本中的）图表，插图
imperative|adj. [只用于名词前] [语法] 表示命令的、祈使的
imperfect|n. [sing.]（也可用the imperfect tense）[语法] the imperfect可指过去未完成时（常称为过去进行时）
impersonal|adj. [语法]（动词或句子）无人称的，非人称的（即只用it或there做主语的）
in|prep. 用于表明使用的语言
incise|vi. ~ sth (in/on/onto sth) [正式] 在一个表面上刻上文字
indicate|vt. 以书面的形式给出信息，即写出，写明，注明
indicative|adj. [只用于名词前]（语法）陈述的；指示的
infinitive|n. [C]（语法）动词的不定时（可加to，有时可不加to）
initial|n. 1 [C] 一个人的名字（first name）的第一个字母（即首字母）
initial|vt. 用全名的各个首字母之和（initials）在某事物上签名
ink|vt. [美，非正式] 签署或签订文本（尤指签合同）
inscribe|vt. ~ A (on/in B) / ~ B (with A)（在物体上）写或刻（词语、名字等）
insert|n. [C] insert (in sth) 书籍（或报刊、杂志）中额外添加的一部分（尤指广告附加页）
insert|vt. insert sth (into sth) 将…添加到一段文字或图片中
instalment|n. [C]（报章连载小说的）一节
instrumental|n. [C] [语法] 某些语言中的工具格；工具词（表示一个名词、代词或形容词是主语达成一件事或完成一个行动所使用的工具或方法）
interpret|vi. ~ (for sb) 听到一种语言的时候，用另一种语言翻译出来，即口译
interpreter|n. [C]（在不同语言之间进行翻译的）口译工作者，即口译员
intonation|n. [U, C] [语音学] 语调，尤指影响语义的语调
introduction|n. [C, U]（书籍或演讲的）序言；引言；导论（该部分大致阐述了后续的正文内容）
intrusive|adj. [语音学]（语音）添加的；插入的（讲话时为连接两个词而添加一个音，如有些说英语的人会在law and order中的law之后添加一个“r”，这个“r”就是插入的音，不过此类情况是一种非标准英语）
irregular|adj. [语法] 形式不规则的
jacket|n. [C] 也可用dust jacket，指书籍的松散的护封或书套（常带有图案或画面）
key|n. [C]（地图或平面图中）对符号的说明：You will find a key at the front of the book. 你在书的前面会看到一个对书中所用符号（及其所表示的含义）的说明。 **reference**
key|vt. key sth (in) / key sth (into sth) 用键盘将信息键入电脑，相当于enter。是将名词用作动词，不常用
