about|prep. [文学] 围绕（某人或某事物）
range|n. 1 [C, usually sing.]（变动或浮动的）范围，界限，区间
reach|n. [sing., U] 权力或影响力的界限或范围
realm|n. 1 [C]（活动、兴趣、知识等的）领域
ring|vt. ring sb/sth (with sth) 常用被动式，包围或环绕…
roll|vt. roll sb/sth/yourself (up) in sth 用某物包裹或覆盖…
round|adv. [尤英；美常用around] 1 周围；绕一整圈
rub|vt. 在一个表面上涂抹液体或其它物质
scale|n. [sing, U] ~ (of sth) 范围，尤指与其他事物相比较时的范围，且尤指大的范围
scene|n. [sing.] [非正式] the scene 或 the ... scene 可指某一活动（或生活方式）的领域、圈子
scope|n. [U]（一个主题、组织机构、活动等的）范围
seal|vt.（警方、军方等）关闭边境或出口，以防止人们穿过一个地方，即封锁地区
sector|n. [C]（尤指一国经济的）领域、部门
shroud|n. [C] [文学] ~ of sth 覆盖物；包裹物；遮蔽物
siege|n. 1 [C]（军队、警察对城镇的）包围、围困、封锁（以切断其食物等的供应）
sight|n. [U] 视力所及的距离或范围，即视力范围，视野
skirt|vt.＆vi. 环绕…的四周，沿着…的边缘行进
smear|vt. ~ sth on/over sth / ~ sth with sth 用油性或稀软物质在一个表面上胡乱涂抹
smooth|vt. smooth sth on/into/over sth 将一层柔软物质均匀置于某个表面上
smother|vt. ~ sth/sb with/in sth 用某物厚厚地覆盖
span|n. [C] ~ (of sth) 范围；包括的种类
spectrum|n. [usually sing.] 某类事物的范围、系列
sphere|n. [C] 范围、领域
sphere|n. [C]（社会地位或兴趣等相同的）阶层、圈子、人群
sprawl|vi. 杂乱无序地蔓延、拓展，覆盖一个大的区域
spray|vt.&vi. spray sb/sth (with sth) 用力向…上覆盖很多小东西（如抛洒。动作发出者可以是人，也可以是事物本身）
spread|n. [C, usually sing.] spread (of sth) 涉及的区域或活动范围
spread|vt. spread sth (out) (on/over sth) 把物品摊开，让其覆盖一个更大的区域
spread|vt.＆vi. spread (A on/over B) / spread (B with A) 把一种物质涂抹到…的表面；或能够被涂抹到…表面
stage|n. [sing.] 某一活动领域，尤指政治领域
stalk|vt.&vi.（死亡、恐惧、罪恶等）笼罩一个地方
stretch|vi. 覆盖一片空间（如地域）或距离，如延伸、绵延。相当于extend
suppress|vt. [常贬] 封锁（消息）
surpass|vt.&vi. [正式] 远远超出（预期）
surround|vt. 1 surround sth/sb (with sth) 围绕或环绕…
surrounding|adj. 只用于名词前，附近的或周围的
territory|n. [C, U]（个人、知识的）领域、（经验的）范围
tuck|vt.&vi. 用某事物盖住某人，使其温暖舒适
turf|n. [U] [非正式，尤美] sb’s ~（自己的）势力范围
ubiquitous|adj. [常用于名词前] [正式或幽默] 似乎无所不在的，或似乎在某事存在于若干地方的；十分普遍的
universal|adj. 1（在全世界或某个群体中）涉及所有人的，即普遍的，全体的，共同的
unlimited|adj. 尽量多的；无限制的
veil|n. [sing.] [正式] 薄薄的遮盖层
veneer|vt. ~ sth (with/in sth) 用薄木板等覆盖…的表面
vision|n. [U] 视野
wax|vt. 用蜡覆盖或涂抹…，即给…上蜡或涂蜡（例如用蜡抛光）
wide|adj. 1 范围大的
widespread|adj. 分布广的，普遍的，广泛的
within|prep. 在某个范围或限度之内；不超出某个范围或限度
world|n. 1 [C] 属于某个群体的人或事物，或与某一兴趣、工作等有关的人或事物
wrap|vt. ~ sth (up) (in sth) 用纸张或其他材料将某事物完全覆盖，可称为包裹，例如包裹礼物
wreathe|vt. [正式] [常用被动式] ~ sth (in/with sth) 环绕或覆盖某事物，常指烟、雾笼罩
zone|n. [C] 抽象地带
