hole|n. 1 [C] 一个实心事物（或某事物的一个平面上）的一个中空的空间，可称为洞、孔、坑
hollow|n. [C] 孔、洞、围起来的空间
hook|n. [C]（用于悬挂、钓鱼等的）钩，挂钩
hooked|adj. 1 弯曲的、钩形的
horn|n. [C] 角状物、喇叭形物
hulk|n. [C] 非常高大的人，尤指高大粗笨的人
human|adj. 1 只用于名词前，人的（而非动物、机器或神的）
humanity|n. 1 [U]（统称）人；人类
idol|n. [C] 被当作神来受崇拜的物品
individual|adj. [只用于名词前] 一个人的；供一个人用的
individual|n. [C] [非正式，常贬] 某类人，尤指古怪的人
interest|n. [C] 常用复数，指同行业的一群人，或拥有相同目标的一群人，或利益集团
item|n. [C] 一件物品
ivory|n. [C] 象牙制品
job|n. [C] 某种东西，物品，为非正式用法
knob|n. [C] [尤英] 小块的某事物（如小块黄油等）
knob|n. [C] 某事物表面上（或末端）的一个球形疙瘩
knob|n. [C]（门或抽屉的）球形把手
knot|n. [C] 用绳索等打的结（可以是用一根绳子的两端来打结，也可以是用两根绳子来打结）
lad|n. 1 [C] [过时，或非正式，英] 男孩儿；男青年；小伙子
lady|n. 1 [C] 指成年女子，一些人（尤其是年长者）认为这样称呼比较有礼貌，即女士，女子
layer|n. [C] 表面上的（或两个表面之间的）一层某事物
lead|n. [C] [英] [英美也用leash]（牵狗用的）长皮带，链条或绳索
leaf|n. [U] 薄金属片，尤指金箔或银箔
leak|n. [C]（导致泄漏或渗透的）小孔或裂缝
leg|n. [C] 桌椅等家具的腿
lifeline|n. 1 [C] 水上救援的救生索（即向在水中挣扎的人扔去的一条绳索）
line|n. [C] 一段绳子、金属丝、线（thread）、管道（pipe）等（尤指当其被用于某一目的时）
link|n. [C] 链状物的一个环，引申为抽象的环节
loop|n. [C] 绳子、金属丝等的环、圈
lump|n. [C] 一块硬物或固体，通常没有一个特定的形状
maid|n. [C] [旧时] 未婚的年轻女子
male|adj.（电器插头、工具部件等）有插头的
male|adj.（缩写为m）（人）雄性的
man|n. 1 [C] 成年男子
man|n. 1 [U] 特定历史时期的人类，也可指广义上的人类，不过是一种代指
manhood|n. [U] [文学] 一国的所有男子
manhood|n. [U] 男性气质、男子汉气概
mankind|n. [U] 人类（所有人，被作为一个大的整体）。是“人类”的一个常规用词
masculine|adj.（人或事物）男子汉的；男人的；像男人的
matter|n. [U] 某种东西
mob|n. 1 [C, sing.] 一大群人，尤指一大群暴民
monster|n. [C] 一个庞大（或丑陋）的事物
mortal|n. [C] [常幽默] 人，尤指没什么权力或影响力的普通人
net|n. 1 [U] 由线或绳编织而成的具有一些孔洞（通常是很多同样大小的孔洞）的网，或网状物
network|n. [C] 复杂的相互交叉并相互连接的一些道路、线路、管道、神经、血管等，即网络；网状系统。强调该网络内部各节点之间由于交换或传递资源而表现出的交互性，以及因这种内部交互而表现出的整体上的系统性
noose|n. [C] 绳套、索套、活扣（即一端系成了活的圈套，另一端一拉即可使此圈套变小的一条绳子）
number|n. [sing.] [非正式] 跟在一个或多个形容词后，表示令人羡慕的东西（如一件衣服或一辆汽车）
object|n. [C]（看得见摸得着的）物体，物品，东西（非生命体）；固态物体
one|pron. [正式] 人们
one|pron. [正式] 本人
one|pron. one (to do sth)（某类人中的）一个
