illumination|n. 1 [U, C] 光源
keep|n. [U] 一个人的生活必需品（如食物、衣服等）
lamp|n. [C] 利用电、油、燃气来发光的一种装置，即灯
lantern|n. [C] 一个透明盒子（常是有玻璃侧面的金属盒子）里的灯，有一个提手，可以拎着到屋外去，即灯笼
leaf|n. [C] 桌子上可以打开或折叠起来的折板（打开的时候可以使桌子更大）
lid|n. [C]（容器的）盖子（可通过旋转、拔等方式打开）
light|n. [C] 发光体，光源（尤指电灯）
light|n. [sing.]（可以点燃香烟的）火柴或打火机、点火器
lighter|n. [C]（也可用cigarette lighter）打火机、点火器
lighting|n. 1 [U] 一个地方的照明或灯光（如通过电灯、蜡烛或窗户进行的照明）；也可指光的品质
loop|n. [C] 循环音像磁带
luggage|n. [U] [尤英] 旅行时所携带的装有衣服和其他物品的箱包，即行李
magnet|n. [C] 带有磁性表面，可以粘贴到金属表面上的一个物体
marble|n. [C]（小孩子在地上玩儿的）玻璃弹子
master|adj. 常用作形容词，指录音、磁带、电影等的母带（可以此进行复制）
mat|n. 1 [C] 用于铺在部分地面上的一小块厚地毯（或结实材料）
match|n. [C] 火柴
mattress|n. [C] 床垫
mobile|n. [C] 线绳悬挂着一些小物件所构成的一个小装饰品，悬挂在天花板上，可随风摆动。如风铃
module|n. [C]（家具的）组件、模块
mount|n. 1 [C] 用以展示某事物，或对该事物起支撑作用的一张卡片或一块玻璃
nail|n. [C] 钉子（用于钉在墙上挂东西，或把木头钉在一起）
nipple|n. [C] [美] 婴儿奶瓶上的奶嘴。相当于teat
pack|n. 1 [C] 一捆或一包东西，尤指携带的东西
package|n. [C] [美] 用来包裹东西的一个盒子、袋子等；也可指该盒子（或袋子）里的东西
packet|n. 1 [C] [英]（用于包装商品的）小型纸质容器，或其小型硬纸板容器
pad|n. [C] 吸收液体、保洁或保护用的一层厚厚的柔软材料
pail|n. [C] [过时用法]（通常为金属或木制的）桶。相当于bucket，bucketful
paper|n. [U] 常构成复合词，指材料意义上的纸，纸张，可用于书写或包装等
paste|n. [U] 糨糊
peg|n. 1 [C]（也可用clothes peg）[均英]（美式英语用clothespin）晾衣夹子
pillow|n. [C] [美] 用柔软材料（如羽毛）填充的一个布袋，可使人坐得更舒服，即坐垫、靠垫等，相当于cushion
pillow|n. [C] 枕头
pin|n. [C] 某种夹子（如晾衣服的夹子）
pin|n. [C]（一端有尖的）大头针或大头钉
pitcher|n. 1 [C] [美]（有柄和嘴的）罐，壶。相当于jug
plug|n. 1 [C]（放进孔洞以起到堵塞作用的）塞子
pocket|n. [C] 附在某事物（如车门、提包内等）的小口袋或小容器
pocketbook|n. 1 [C] [旧时，美] 女用手提包。相当于handbag
portable|n. [C] 便于携带的一种小型机器（尤指便携式电脑或电视机）
