abdicate|vt.&vi.（国王或女王）退位
rally|n. [C] 大型公众集会，尤指支持某个思想或政党的大型公众集会
realm|n. [C] [正式] 由一个国王或女王所统治的一个国家，即王国
rebel|vi. ~ (against sb/sth) 反叛政府、体制等
rebellion|n. [U, C] ~ (against sb/sth) 对政府的叛乱、谋反
red|adj. [非正式，有时贬] 政治上可指持有左翼政治观点的，即激进的
referendum|n. [C, U] ~ (on sth)（一国的所有人就某个重要事件进行的）全民公投、全民公决
reform|vt. 改良一个体系、组织、一部法律等，即改革，改良
regime|n. [C]（尤指未通过公正选举而产生，因此非民主且统治手段不被认可的）统治方式或制度，即政权、政体（有一种批评意味）
regime|n. [C]（机构、公司、经济等的）组织方式或管理制度
reign|n. [C] 君主的统治时期
remonstrate|vt.&vi. [正式] ~ (with sb) (about sth) 对…表示抗议或抱怨
representative|adj.（一个政府体制等）由被选举出来以代表其余群体进行讲话或表决的人们组成的，即由代表组成的、代议制的
representative|n. [C] Representative 简写为Rep.，在美国可指众议院议员（参议院议员称为“Senator”，缩写为Sen.）
repress|vt. [常用被动式]（动用政治或军事力量）压制、镇压一群人并限制他们的自由
repression|n. [U]（用武力对人们的）压制、镇压
republic|n. [C]共和国
resident|n. [C] 某地的一个居民、住户
restoration|n. [sing.] the Restoration 可指王政复辟时期（1660年，英国经历了一段无王时期后，查理二世登基为王）
return|vt. return sb (to sth) / return sb (as sth) 英式英语中可指政治选举，常用被动式
revolt|n. 1 [C, U]（尤指针对政府的）反抗；武装起义；暴力叛乱
revolution|n. [C] 很多人所持有的改变一国政府的企图，尤指通过暴力行动，即革命
right|n. 1 [C] the right或the Right为单数名词，表示政治上的右派组织或右派政党。与left相反
riot|n. [C]（一群人在公共场合的）暴乱、骚乱（通常为了表示抗议）
rise|vi. [正式] 奋起反抗（统治者、政府或外国军队）
rising|n. [C] [尤英] 起义、叛乱
royal|adj. 1 关于（或属于）国王或女王的，即国王的，女王的，王室的，皇家的，只作前置定语
royalty|n. [U] 王室成员
rule|vt.＆vi. rule (over sb/sth) 对一个国家、一群人等进行控制且施加权威，即统治
ruler|n. [C] 统治者或支配者，即通过政权来控制、管理国家的一个人。通常在其内心中，自己不受社会道德约束，为了使臣民服从其治理而采取各种手段（包含各种符合情理的手段，也包含各种违反人道的手段）。常含贬义，有时含中性，如果被表示“褒义”的形容词修饰，也可含有褒义
ruling|adj. [只用于名词前]（对一个群体、国家等）拥有统治力的，即统治的、支配的、占统治地位的
run|vi. run (for sb/sth) / run (in sth) 参加政治竞选，尤用于美式英语
rural|adj. 1 [常用于名词前] 乡村的；农村的
rustic|adj. [褒] 乡村的、乡村人的、淳朴的
rustic|n. [C] [贬或幽默]：乡下人、乡巴佬
saddle|n. [sing.] in the ~ 在位、掌权
secretary|n. 1 [C] Secretary，国务卿
secretary|n. [C] 政治组织的书记、秘书、文书、干事
section|n. [C] 一个群体（人的群体）内的一个子群体，可叫做阶层
sector|n. [C] 阶层
senate|n.（通常用the Senate）1 [sing.] 参议院（美国、澳大利亚、加拿大、法国等国家的两个立法机构之一；美国许多州议会也设有参议院）
senator|n. [C]（常写作Senator，缩写为Sen.）（美国、澳大利亚等国的）参议员
shadow|n. [C] 在野内阁成员（或影子内阁成员）
shake-up|n. [C] ~ (in/of sth)（公司、组织机构、体制等的）重大调整或重组（以提高其运转效率）
shore|n. [pl.] shores可指国家（尤指拥有海岸的国家）
sit-in|n. [C]（建筑物内的）静坐罢工，静坐示威
slave|n. [C] 奴隶
slavery|n. 1 [U] 作为奴隶的状态，即奴隶身份
socialism|n. [U] 社会主义
socialist|n. 1 [C] 一个信仰或支持社会主义的人，即社会主义者
soil|n. [C] [文学] 一个国家，一片土地。实际是以土地代表国家，与land一样，也是情感和文学意义上的国家，只是不太如land常用
sovereignty|n. 1 [U] [正式] ~ (over sth) 对一个国家的绝对控制权，即主权、最高统治权
speaker|n. [C] 发言人
speaker|n. [sing.] (the) Speaker（议会的）议长（其职责是在议会上控制讨论）
spoil|vt.（因在其上写违法的内容而）使选票无效
spokesman|n. [C] spokesman (for sb/sth) 代表一个组织进行发言的人
sponsor|n. [C] 一项新法案等的倡议者，发起人
sponsorship|n. [U] 倡议
squash|vt. 镇压（叛乱）
stand|vi. stand (for/as sth) 参加竞选，尤用于英式英语
standard|n. [C] 正式仪式上所使用的一面旗帜（尤指某支军队的军旗）
state|adj.（也可用State，只用于名词前）与一国领袖出席一场官方仪式有关的，如国事的、隆重的
state|adj.（也可用State，只用于名词前）由一国政府所提供、控制、资助或组织的
state|n. 1 [C] 也可用State，指政治和法律意义上的国家
state|n. [C] 也可用State，国家（尤指一些大国）的一部分，可称为州、邦
state|n. [U, sing.] 也可用the State，一国的政府
statesman|n. [C] 一位英明干练、贤明谨慎并受人尊敬的政治领袖，通常级别较高，有明确的褒义色彩
statesperson|n. [C] 英明的、经历丰富且受人尊敬的政治家
steer|vt. 操控局势，或影响局势的发展方向
stick|n. [pl.] [非正式] the sticks 可表示（远离城市的）边远乡村地区
stranger|n. [C] 某地的一个外来人，外地人，外来者
style|n. [C, U] style (of sth) 做事的方式，作风
subject|adj. [正式]（只作前置定语）受另一国政府统治的
subject|n. [C]（尤指君主制国家的）国民，臣民
subject|vt. [正式] subject sth (to sth)（尤指通过武力）让一个国家或一群人臣服，顺从
suburb|n. [C]（也可用美式、非正式的burbs[复数]）城市的郊区
suburban|adj. 郊区的、城郊的
subversive|adj.（对政府或政治制度）有颠覆性的、暗中起破坏作用的
sultan|n. [C] 某些穆斯林国家统治者的称号，即苏丹
suppress|vt. [常贬]（政府、统治者等）镇压、武力平息（叛乱者或叛乱活动）
suppression|n. [U] 镇压
supremacy|n. [U] ~ (over sb/sth) 至高无上的职位、权势或地位
system|n. 1 [C] system (of/for sth) 思想（或理论）的体系；做事的某一种方式，体制或制度
table|vt. [英] 正式提出某事以供讨论（尤指正式提交议案）
tendency|n. [C] [英]（政党内的）极端派别
territory|n. 1 [C, U] 由一个国家或统治者所统治的土地，即领土、领地
throne|n. 1 [C]（国王、女王的）宝座
ticket|n. [usually sing.] [尤美] 选举中的一份候选人名单，该名单上的所有候选人均获得某一政党的支持
totalitarianism|n. [U] [贬]（国家或政体的）极权主义
town|n. 1 [C, U] 镇、市镇（比村庄大，比城市小）（在非正式用法中，city有时可叫做town）
town|n. [sing.] the town 可指居住在某个镇的人们，即镇子里的居民
tribe|n. [C]（有时具有冒犯性）部落，尤指发展中国家的部落
trouble|n. [U] 一种愤怒或暴力的情形，如纷争、骚乱等
turbulence|n. [U] 骚乱、动乱、动荡
turmoil|n. [U, sing.] 一种混乱、无序、不确定或巨大焦虑的状态
turnout|n. [C, usually sing., U] 选举中的投票人数
tyrannical|adj. 利用自己的权力或权威对别人施加不公平或残暴的行为的，即残暴的
tyranny|n. 1 [U, C] 对权力的残暴而不公的行使，如暴政、苛政、专政
tyranny|n. [U, C] 专制政府
tyrant|n. [C] 暴君；专制君主
underground|adj. 秘密操作或运转的，且常是非法的，尤指反政府的
union|n. 1 [C] 结合在一起的一些州（其有共同的中央政府，或各方同意共同工作），即联邦
union|n. [C] 结合在一起的一些国家（其有共同的中央政府，或各方同意共同工作），即联盟，同盟
universal|adj. 影响或关于世界各处的，即全世界的，世界性的
unrest|n. [U] 动荡的政治局势（人们愤怒、且倾向于抗议或打斗），可称为骚乱
upheaval|n. [C, U] 引起很多混乱、担忧、问题或麻烦的大变化，即剧变、动荡
uprising|n. [C] ~ (against sth)（一群人）起义、暴动、造反
urban|adj. 与一个城市（city）或城镇（town）相关的，即城市的、都市的、城镇的
vigil|n. [C, U] 夜间抗议
village|n. [C] 乡村地区的一个村庄、村镇。一般只强调农村的建筑物和人情往来，而不太强调大片的土地。是一种人文和社会概念
village|n. [sing.] [尤英] the village 可指居住在一个村庄的人们，即村民
villager|n. [C] 村民，是此义的常规用词
visa|n. [C] 在护照上所做的签证（由外国官员所做，以允许你进入、经过或离开该国）
vote|n. 1 [C] vote (for/against sb/sth) 选票，其本质是为了推举某人或为了做某事而在一场选举或会议中所做的一个正式决定
voter|n. [C]（尤指政治选举的）投票人、有选举权的人
weak|adj.（政府或领导人）对政局没有什么掌控力的，即软弱无能的
whip|n. [C] 在政党中负责确保党员出席政府重要辩论并表决的一个官员，即党鞭，如纪律委员、组织秘书
whip|n. [C]（政党发给党员的）投票指南
wing|n. [C] 一个组织中（尤指政治组织中）的一派
world|adj.（重要性等）世界性的，全球性的
world|n. [C, usually sing.] 某个地区；某一群国家
worldwide|adj.（常作前置定语）影响全世界的；世界各地的
