abdicate|vt.&vi.（国王或女王）退位
commonwealth|n. 1 [sing.] the Commonwealth 英联邦（由英国和大多数曾经隶属于大英帝国的国家组成）
commonwealth|n. [sing.] [美]（与美国联系紧密的）自治政区
commonwealth|n. [sing.]（通常用the Commonwealth）（用于美国肯塔基、马萨诸塞、宾夕法尼亚和弗吉尼亚四州的正式名称中）州
commune|n. [C]（法国及其他一些国家的）最小的行政区
communism|n. 1 [U] 信仰意义上的共产主义
communist|n. 1 [C] 一名共产主义者
compatriot|n. [C] 出生于同一国家（或具有相同国籍）的人，即同胞、同国人，相当于countryman
competent|adj. 有决定权的
confederacy|n. 1 [C] 由一些目标一致的州邦、群体、政治党派所结成的一个联邦、联盟、同盟
confederation|n. 1 [C] 由不同的国家、公司等所组成的一个联盟机构（以彼此扶持）
congress|n. 1 [C] Congress 指美国及其他一些国家的国会，议会。其中美国的Congress包括the Senate（参议院）和the House of Representatives（众议院）
conservative|adj. 常用Conservative，与英国的保守党有关的，即保守党的
consort|n. [C] 统治者的配偶
constituency|n. 1 [C] [尤英]（选举议会议员的）选区
constituent|n. [C] 选区的选民、选举人
consul|n. [C] 领事
contest|n. [C] 选举
convulsion|n. [usually pl.] 一个国家、体制、组织机构等所发生的意想不到的重大变化，如动乱、骚乱
corporation|n. [C] 英式英语中还可指被选举出来以管理一个大型城镇或城市（兼提供公共服务）的一群人，即市政委员会
corrupt|adj. 1（人或组织）贪污的，营私舞弊的，即腐败的
corruption|n. [U]（尤指当权者的）腐败、贪污、受贿
cosmopolitan|adj. [褒] 世界性的；全球各国的；有各国人的；受各国文化影响的
council|n. 1 [C] 被选举出来统治一个地方的一群人，可以是国家政务委员会，也可以是地方政务委员会
councillor|n. [C]（缩写为Cllr）市议员
count|n. [C] 在欧洲一些国家可指一种贵族封号——伯爵，相当于英国的earl
country|n. [C] 国家、国。是此义的基础用词，使用范围最广
country|n. [sing.] the country 一国的全体人民，整体意义上的国民、全民。由country的“国家”之义衍生而来，本身并不强调任何特征或感情色彩
country|n. [sing.] the country 城镇以外的任何地区，包括土地、树木、农场等，即乡村、乡下
countryside|n. [U] 城镇和城市以外的土地，包括土地、树林等，即乡村
county|adj. [英，常含贬义] 典型英国上流社会人物的
county|n. [C]（缩写为Co.）（英国、爱尔兰的）郡；（美国的）县
coup|n. [C]（也可用coup d'état）政府内的突然、非法且常涉及暴力的变动，即政变
court|n. 1 [C, U] 国王或女王、皇后居住的地方，即王宫，宫廷
cousin|n. [usually pl.] 对（与本国人民在某个方面类似的）另一国人民的称呼，如兄弟般的…国人民
crackdown|n. [C] ~ (on sb/sth)（对反政府活动的）严厉打击、镇压
crossing|n. [C] 从一国到另一国所经过的过境处
crowd|n. [sing.] [有时贬] the crowd 可指普通人，凡夫俗子，老百姓，在任何方面都没什么特殊性或不寻常特质的人
crown|n. [sing.] the crown 可指王位；王权
crown|n. [sing] the Crown 可指（由国王或女王所统治的国家的）政府，如王国
crush|vt. 用暴力手段对付反对者，如镇压
czar|n. [C] 俄国沙皇
degenerate|adj. 道德堕落的
democracy|n. 1 [U] 民主政体、民主制度
democratic|adj. 1（国家、政府、制度等）民主的；民主制度的；民主政体的
demonstrate|vi. ~ (against sth) / ~ (in favour/support of sth) 集会示威、游行示威（以抗议或支持…）
demonstration|n. [C]（尤其在英式英语中，也可用非正式的demo）~ (against sb/sth) （为抗议或支持某人或某事所进行的）集会示威、游行示威
demonstrator|n. [C]（集会或游行的）示威者
department|n. [C] 政府的部门，是一个基础用词，具有很强的通用性，可以表示各级各类的部门（上可表示国家部委，下可表示各基层部门），在词义内含上包括了本组其他各词
depose|vt. 将某人（尤指统治者或政治领导人）从权力的宝座上赶下台，如废黜
deposition|n. [U, C] 清除某人，尤指将统治者从其权力的宝座上废黜、罢免
deputy|n. [C] 某些国家的议员
designate|adj. [正式]（用于名词后）已受委派但尚未上任的；已当选但尚未就职的
despotic|adj. 利用自己的权力对别人施以不公平或残暴的行为，如专制的、残暴的、暴虐的
dictator|n. [C] [贬] 国家的独裁者，尤指通过军事力量掌权的独裁者
dictatorial|adj. [贬] 独裁的、专政的
dictatorship|n. [C] 独裁国家
dictatorship|n. [C] 独裁政府
dictatorship|n. [U] 独裁、专政
diet|n. [sing.] 一些国家（例如日本）的议会
diplomacy|n. [U] 外交；外交技巧；外交手腕
diplomat|n. [C]（旧时用diplomatist）外交官
diplomatic|adj. 外交的、从事外交的
disadvantaged|adj.（地位）低下的
disorder|n. [U] 一大群人的暴力行为，即骚乱、动乱
disturbance|n. [C] 公共场合的骚乱、动乱
division|n. [C] [术语]（英国议会的）分组表决（以投票支持或反对…）
division|n. [C]（划分…的）边界线
domain|n. [C]（尤指旧时个人、国家等所拥有或统治的）土地，即领土、领地、势力范围
domestic|adj. [常用于名词前] 本国的、国内的
domination|n. [U] 统治
duke|n. [C] 最高级别的贵族，即公爵
duke|n. [C]（尤指在旧时）欧洲部分地区的一个小型独立国家（即小公国）的一个男性统治者
dweller|n. [C]（尤用于构成复合词）居住在某地的一个人，如居民、居住者
dynasty|n. 1 [C] 王朝（包含了一个家族中的历任国家统治者）
earl|n. [C]（英国的）伯爵
elect|vt. elect sb (to sth) / elect sb (as) sth 通过为某人投票而选举其去做某项工作，即选举，推选
election|n. 1 [U, C] 选举，尤指政治选举
elector|n. 1 [C] 有选举权的人，即选民
electorate|n. 1 [C] 一国或一个地区的全体选民
emancipate|vt. [常用被动式] ~ sb (from sth) 解放某人，尤指将其从法律、政治或社会束缚中解放出来
emancipation|n. [U] 解放，尤指使某人不受法律、政治或社会中不好的或不公平的限制的束缚
embassy|n. [C] 大使馆的建筑
embassy|n. [C] 由大使所率领的一群使馆官员
emigration|n. [U, C]（向国外的）移民、移居
emissary|n. [C] [正式] 被政府或领导人派去（尤指被派到国外）送信或被派去执行一项特殊任务的一个人，如特使、密使
emperor|n. [C] 一个帝国的统治者，即皇帝
empire|n. [C] 由一个统治者（或政府）所统治的一群国家或州邦，可称为帝国
empress|n. 1 [C] 一个帝国的女性统治者，即女皇
envoy|n. 1 [C]（一个政府或组织机构派出到另一个政府或组织机构进行会谈的）使者、使节
ethnic|adj. 1 民族的，种族的
executive|n. [sing.] the executive指政府的行政部门
exotic|adj. 来自（或在）异国（尤指热带国家）的；因来自异国而显得令人兴奋或不寻常的，即异国情调的、异国风味的、奇异的
external|adj. 与外国有关的、对外的
far|adj. far left或far right中的far可表示（政治观点）极端的
federal|adj. 1 联邦制的
federation|n. 1 [C] 联邦、联邦制国家
ferment|n. [U, sing.] [正式]（政治或社会的）动乱，动荡
flag|n. 1 [C] 旗
floor|n. [sing.] the floor 可指一栋建筑物（尤指议会）中供人们进行正式讨论或辩论的区域（可叫议员席或议政厅）；也可指出席一场讨论或辩论的人（为聆听者，而并非主要发言人）
folk|n. 1 [pl.] [非正式；美尤用folks] 人们
foreign|adj. 1 在（或来自）外国的
foreigner|n. [C]（有时具有冒犯性）1 一个来自国外的人，即外国人
franchise|n. [U] [正式] 公民的选举权
front|n. [sing.] Front 用于政治组织的名称，表示“阵线”
frontier|n. 1 [C] [英] frontier (between A and B) / frontier (with sth) 两地（常是两国）之间的边界线；也可指此种边界线附近的地区
furore|n. [sing.] ~ (about/over sth)（常指由公共事件引起的）群情激愤、骚动、轰动（是一种愤怒兼激动的情形）
gathering|n. [C] 人们为某一目的进行的集会
giant|n. [C] 大国
give|vt. 赋予（权力）
global|adj. [常用于名词前] 全球的、全世界的
govern|vt. 依法统治或管理一个国家（或其人民）
government|n. [C] 负责管控一个国家的一群人，即政府，内阁
government|n. [U] 一国的统治活动或治理方式
government|n. [U] 用于管控一个国家的某种体制或方法，即国家体制，政体
governor|n. 1 [C]（也可用Governor）被别国统治的一个国家（或地区）中的首脑，如总督
green|adj. 在政治上可指关注环境保护的，赞成环保的政治主张的
guideline|n. [pl.] guidelines 可指官方机构发布的做某事（尤指难事）的指导方针、行动纲领
hack|n. [C] [贬] 为一个组织机构（尤指为一个政客）做艰苦乏味工作的人，如杂务人员
hack|n. [C] [贬] 二流政客，即对其政党太过衷心但得不到应有的地位的人
hawk|n. [C]（尤指政治领域的）鹰派分子、主战分子（倾向于用武力解决问题）
head|n. [C, U] 政治首脑，是一种比喻用法
herd|n. [C] [常贬] 同类的一大群人，如（缺乏独立思想的）一般民众，芸芸众生
hierarchical|adj. 按等级划分的；等级制度的；等级森严的
hierarchy|n. [C, U] 等级制度，尤指一个社会或一个组织机构的等级制度
hill|n. [sing.] [美，非正式] the Hill可指美国国会大厦（或在此举行的活动），是Capitol Hill（中文也可叫“国会山”）的非正式用法
home|adj. [尤英] 本国的、国内的，相当于domestic，与foreign或overseas相反
home|n. [C, U] 你所来自于（或你正在其中居住并对其有归属感）的一个城镇、地区、国家等，即故乡、家乡、定居地
homeland|n. 1 [usually sing.] 一个人所出生的国家，即祖国
hometown|n. [C] 一个人所出生（或其童年所居住）的一个地方，即家乡、故乡
honourable|adj. 1 [只用于名词前] the Honourable（缩写为Hon）用于英国某些贵族子女的头衔
honourable|adj. 1 [只用于名词前] the/my Honourable…（缩写为Hon）英国议会议员辩论时相互间的尊称
host|n. [C] 举办或组织一项特殊活动的一个国家或城市，即东道主，主办国（或城市）
house|n. 1 [C]（常写作House）聚在一起商讨并制定一国法律的一群人，可叫做议院；议会；国会
household|adj.（用于王室警卫队名称中）皇家的
idyllic|adj. 平静美丽的、安适恬淡的、田园诗般的、质朴宜人的、完美无瑕的
immigrant|n. [C] 外国来的移民
immigration|n. 1 [U]（从另一国）入境移居；还可指外来的移民人数
imperative|adj. [正式] 表示权威的
imperator|n. [C] 绝对统治者、古罗马皇帝、最高统治者
