express|vt. express sth as/in sth（尤指在数学中）用某种方式（如符号）来代表或表示
expression|n. [C] 数学的式子或表达式
factor|n. [C] [数学] 因子、因数
factor|n. [C] a factor of 增减（一般是增加）的倍数
factor|n. [C] 系数
fifty-fifty|adj. [非正式]（发生概率）一半一半的，百分之五十的
figure|n. 1 [C, often pl.] 数字，尤指官方资料中的统计数字
figure|vt. [美] 计算（数量或成本等）。词义上相当于calculate
flurry|n. [usually sing.] 一阵忙乱（或激动、兴奋等）
foot|n. 1 [C] 一种计量单位，表示英尺（约为30.48厘米），常用单数形式表示复数
forty|number.（数字）四十
fraction|n. [C] [数学] 分数
full|adj. 只用于名词前，用于强调数量或数额，如足足的，整整的
function|n. [C] 函数
galaxy|n. [C] [非正式] 一群著名的人，或一群具有某种技能的人，如群英
gallon|n. [C] 加仑（液量单位，在英国、加拿大及其他一些国家约等于4.5升，在美国约等于3.8升，一加仑为四夸脱）
gang|n. 1 [C] 一帮、一伙（有组织的罪犯）
gauge|n. [C] 常构成复合词，指测量仪器或仪表
gauge|vt. 用仪器测量
get|vt. 从自己的行动中通过计算或实验而得出某个结果
glass|n. [C] 一玻璃杯的量
go|vt.＆vi. goes (into sth)（数字）除尽；除
good|adj. 不少于、稍多于
graduation|n. [C] 刻度，相当于gradation。是一个广义用词
grain|n. [C] 一种微小的重量单位，相当于0.0648克，即格令，可用于称量药品等
grain|n. [C] 一粒…
gram|n. [C] 克（重量单位，英式也用gramme，其缩写为g或gm）
gross|n. [C]（复数形式为gross）144个为一组的事物，可称为一罗
group|n. [C] 在同一地的一群人或事物，或以其它方式联系在一起（如因拥有某个或某些共同特征）的一群人或事物，即组，群等
half|n. [C] [英，非正式]（啤酒或一种相似饮料的）半品脱
half|n. [C] 半，一半
handful|n. [C] handful (of sth) 一只手可以抓住的量，即一把的量
head|n. [C] 复数名词，head of sth 表示农场或牧群等的牲畜的数目，即头
house|n. 1 [sing.] the house 可指（在一场正式辩论中）参与辩论的一群人
in|prep. 用于表明比率或相对数量
in|prep.（人或事物）以…的数量去做某事
inch|n. [C] 英寸（长度单位，等于2.54厘米，1英尺等于12英寸，inch缩写为in.）
incidence|n. [C, usually sing.] [正式] ~ of sth 某事（尤指坏事）的发生率
index|n. 1 [C]（物价、工资等的）指数
indicate|vt.（测量仪器）显示某一量度
infinity|n. [U, C] [数学]（符号为∞）一个无穷大的数字
infinity|n. [sing.] 大得无法计算的一个数量
instrument|n. [C]（交通工具、机器等上面用于测量速度、高度、声音等的）仪器，仪表
into|prep. 用于除数，即除
jar|n. [C] 一个罐子（或瓶子）和它所盛装的东西
kilo|n. [C] 千克，公斤，等于kilogramme或kilogram
knot|n. [C] 紧密站在一起的一小群人
knot|n. [C] 船和飞行器的速度计量单位，每小时一海里，即节
league|n. [C] [旧时] 里格，一种长度单位，约等于3英里或4000米
leave|vt. 数学中可指剩余或余下（某个数量）。常用于减法中
length|n. [C]（某事物）细长的一段
let|vt. [术语] 无被动式，用于计算时假设…是真的，即假设，设
lot|n. [C] [尤英] 一组（或一套）人或事物
make|vt. 1 成为总数，是…的总和
make|vt. 估计；计算。是一个简单用词，常用于口语中
make|vt. 合计；等于（表“合计”时一般用于加法）
mark|n. [sing.] [英] Mark后接数词，指燃气烤箱上的某个温度水平的刻度
mass|n. [C] mass (of sth) 没有一种确定形状的一团（或一块、一堆等）某种物质（可以是固态、气态或液态）
mat|n. [C] 卡在一起的某事物的一个厚厚的集合体，如团，簇，丛等
maximum|adj. 只作前置定语，最大的；最多的；最大极限的等
mean|adj. [术语] 只作前置定语，（尺寸、数量等）中间的，中等的，平均的，介于最高和最低之间的
measure|n. 1 [sing.] 表示尺寸、强度、严重程度等的标记，即尺度，标准，程度等
measure|n. [C] 测量或计量所用的工具或仪器（如标有刻度单位的尺子、容器等）
measure|vt. measure (sb/sth) (for sth)（以标准单位来）测量，度量（尺寸、数量等）。是此义的常规用词，最为常用
measurement|n. 1 [C]（通常以数字形式呈现的）测量结果
measurement|n. [C, usually pl.] 某事物的尺寸、长度或数量
meter|n. 1 [C]（尤用于构成复合词）（用于测量电、煤气、水等，以及时间和距离的）计量器，计量表
meter|n. [C] [美] 米。相当于metre
meter|vt. 用仪表计量（耗用的煤气、电等）
mile|n. 1 [C] 英里（距离单位，等于1609米或1760码）
mileage|n. 1 [U, C, usually sing.]（以英里来计算的）车辆已经行驶的里程数
minimum|adj. 只作前置定语，最低的；最小的；最低限度的等。是此义的常规用词
minus|adj. 数学中可指小于零的，即负的
minus|n. [C]（也可用minus sign）减号，与plus相反
minus|prep. 将一个数字减去，减
minus|prep. 表示温度低于零度，即零下
minute|n. [C] 分（为角度单位，即六十分之一度）
mm|n. [C] 毫米（为millimetre或millimeter的缩写）
mode|n. [sing.] [数学] 众数（即一组数字中出现次数最多的数）
mound|n. [C] 一堆。相当于pile
mouthful|n. [C]（饮料或食物的）一口，一满口的量
mug|n. [C] 一缸子的量
multiply|vt.＆vi. multiply (A by B) / multiply A and B (together) 乘以，乘
negative|adj. 数量小于零的，负数的
nest|n. [C, usually sing.] 套叠在一起的一套物件
null|adj. [术语] 零值的；等于零的
number|n. [C] number (of sb/sth)（人或事物的）数量，数额。是一个基础用词，特别常用。此时单纯在词义上相当于amount和quantity（只不过amount相对不太正式，quantity则相对正式）
number|n. [C] 代表了一个数量的文字或符号，即数字，相当于figure。是此义的基础用词，使用范围最广
number|n. [sing.] [正式] 一群人；一定数量的人
number|vt. 总计；共计。相当于total和amount，但amount为不及物动词，因此number与total最为相近，二者词义相近，词性也相同，难见差别
odd|adj.（无比较级和最高级）（数字）奇数的、单数的（即不能被2整除的）
of|prep. 与表示计量、时间、年龄、价值等的词连用（以表示计量、时间、年龄、价值等）
of|prep. 用于可数名词后或不可数名词前以谈论单个的一个个体
of|prep. 用于表示由…组成、或包含…
one|number., det. 1（数字）一
operation|n. [C] 数学运算。相对正式
operator|n. [C] 数学中可指算子
ounce|n. [C]（缩写为oz）盎司（英国和美国的重量单位，1磅合16盎司，1盎司等于28.35克）
out|adv., prep. out of sth 从（某个数目或集）中
output|n. [U, sing.] 作品、想法等的产量
over|adv. 以上（above），多于（more）
package|n. [C] 也可用package deal，指必须被整个购买或接纳下来的一套东西或想法
pair|n. 1 [C] 同种类的两件事物（尤指二者被共同使用或穿戴、佩戴）
pan|n. [C] 一锅的量
parade|n. [C]（多得似乎没有尽头的）一系列（人或事）
part|n. [C]（度量单位的）等份；份（用以对比各部分的数量）
past|prep. 在某个点或阶段之上，即多于…，超过…
per|prep. 每，每一（表示一种比率）
percentage|n. [C] 百分率；百分比。如果说per cent前面一般都要加数字，那么percentage虽然前面也可加数字，但这种情况不常见
piece|n. 1 [C] piece (of sth)（尤与of和不可数名词连用）某事物的一个标准数量（或数额）
pile|n. 1 [C] 堆叠或摞放起的一些东西（即一个放在另一个顶上，且常指整齐的堆叠）
pinch|n. [C] 用大拇指和另一个手指捏住的数量，如一撮
pint|n. [C] 品脱（容量单位，为1/8加仑，在英国等国家约合0.568升，在美国约合0.473升，其缩写为pt）
place|n. [C]（十进制小数点后的）位
plate|n. [C] 一盘所盛之量
plus|adj. 1 用于一个数字后，表示实际数量或数额较大，即略多一些的
plus|n. [C]（也可用plus sign）加号，与minus相反
plus|prep.（两个数量或数额）相加，加
pocket|n. [C]（与周围不同的）一个小群体
point|n. [C] 小数点（即将整数和分数所分开的一个点）
point|n. [C] 计量刻度的一个单位点（或单位标记）
pool|n. [C] pool (of sth) 摊在一个表面上的少量液体或光线，即一滩（液体）；一小片（液体或光）
positive|adj.（数量或数目）正数的（即比0大的）
pot|n. [C] 一罐、一瓶或一壶所盛装的量
pound|n. [C] 一种重量单位，相当于0.454千克，即磅
power|n. [C, usually sing.] 数学中的乘方或幂
press|n. [sing.]（争抢空间或争抢着运动的）一大群人或事物，相当于throng
product|n. [C] 乘积
progression|n. [C] 连续出现的一系列事物，如一连串、一系列
proportion|n. 1 [U] ~ (of sth to sth) 比例关系
proportional|adj. ~ (to sth)（尺寸、数量、程度等）成比例的、相称的、均衡的
proposition|n. [C] [数学] 命题
pyramid|n. [C] 金字塔形（或角锥形）的一堆东西
quantity|n. 1 [C, U]（某事物的）数量，数额，数目。常为正式用法
