africa|n. 非洲
earth|n. [U, sing.] 陆地、大地。不过此时远不如land常用
earth|n. [U] 土（例如粘土或沙子）、泥土、土壤。可以说是“土”的一个统称，涵盖了各种各样的“土”的概念
earthquake|n. [C] 地震（非正式用法为quake）
ebb|n. [usually sing.] the eff 指退潮
epoch|n. [C] [地质学] 地质分期中的世、纪、期
equator|n. [sing.]（通常用the equator）赤道
era|n. [C] [地质学] 地质时期分类中的代
erratic|n. [C]（也可用erratic block, erratic boulder）[地质学] 大块冰川融化时跟在该冰川后面的、与周围的岩石不同的一块岩石，如漂砾、漂石
erupt|vt.＆vi.（火山）爆发；（岩浆、烟等从火山中）喷出
eruption|n. [C, U]（火山的）爆发、喷发
estate|n. [C] [英] 有很多同类房屋或工厂的一片土地，如住宅区、工业区、工厂区
europe|n. 1 [U] 欧洲
european|adj. 1 欧洲的；全欧的
expanse|n. [C] ~ (of sth) 一片宽广而开阔的地域（尤指陆地或海洋）
expanse|n. [C] ~ (of sth) 一片宽广而开阔的海洋
extinct|adj.（火山）不再活跃的、死的
facility|n. [C] [尤美] 有特定用途的场所（常包括建筑物）
fall|n. [pl.] falls 可尤用于名称，指瀑布，相当于waterfall
farm|n. [C] 用作某种用途的一片场地
fault|n. [C]（地壳岩层的）断层处
field|n. 1 [C] 常构成复合词，作某种用途的一片土地，即场地
flat|n. [C, usually pl.]（尤指水边的）低洼平地
flood|n. [C, U] 洪水或水灾
floor|n. [C, usually sing.]（海洋、山谷等的）底；（森林等的）地面。不过也需要与表示具体地貌的词连用
flow|n. [C, usually sing., U] 海的涨潮
focus|n. [C] 地震的震源
fold|n. [C] [英] 山丘或高山之间的一片空地，如山坳，山谷，山洼。与valley有交集的部分，远不如valley常用
fold|n. [C]（地壳岩石层的）褶皱
fork|n. [C]（河流等的）分岔处；也可指分出来的一个支流
fountain|n. [C]（用于装饰公园、园林、院落等的）人工喷泉
frog|n. [C] [非正式] 法国佬，是一种对法国人的蔑称
front|n. [sing.] [英] the front 可表示沿着海边、湖边或河边等的道路或区域。从陆地上看，强调一种前沿性（即把front看作陆地的边缘）
geography|n. 1 [sing.] 地形，地势，地貌
geology|n. [sing.] 某地区的地质状况（即其岩石和土壤的起源和历史）
geyser|n. [C] 间歇泉（通常指以不规律的时间间隔来喷水的天然泉眼）
globe|n. [sing.] the globe 可指全球、地球、世界，用以强调地球之大，或强调某事发生在世界的很多地方
gorge|n. [C] 狭窄的、有峭壁的深峡谷，通常有河流从此穿过山间或坚硬的岩石区
gradient|n. [C] [美式也尤用grade] 地面的坡度、倾斜度
grass|n. [sing., U] 被草所覆盖的一片地方，即草地、草坪、草场
great|adj. Greater与城市名连用，以描述一个包括市中心和其周围的一大片地区在内的区域
grid|n. [C]（地图上的）坐标方格
grit|n. [U] 非常小的沙粒或石子
ground|n. 1 [C] [英] 常构成复合词，指用于某一目的、活动或体育运动的场地
ground|n. [U] 一片开阔地或空旷地。此时相当于space，不过ground仅为不可数名词
ground|n. [U] 地表的土壤和岩石。翻译为“地表”最不容易引起误解，但有时翻译为“土壤”等更具体的词才比较得体，不过其并非土壤的常规用词
ground|n. [U] 常写作the ground，指坚硬的地表面，即地面。是此义的常规用词
gulf|n. 1 [C] 海湾
gulf|n. [C] 地面的大且深的裂口
head|n. [C] 单数名词，the head of the river 指河流的源头，与source同义
heartland|n. 1 [C] 一个国家（或地区）的中心地带
heave|n. [U] [尤文学] 海浪的起伏
heavy|adj.（海洋）由于浪大而危险的，即汹涌的。强调汹涌的程度之重
hebrew|n. 1 [C] 希伯来人（旧时指犹太人）
height|n. [C, usually pl.] 常用于名称，指高的地方
hill|n. [C] 山丘；小山。高度通常比mountain低
hillside|n. [C]（小山的）山坡，山腰
horizon|n. [sing.] the horizon可指地平线
hump|n. [C] 某事物的平面（尤指地面）上的一个大隆起物
in|adv. 指潮汐上涨或在最高点
interior|n. [sing.] the interior 可指一国（或一片大陆）的内陆、内地、腹地
island|n. [C] 岛屿，岛。是此义的常规用词
jet|n. [U] 一种坚硬的黑色材料，可抛光以用作首饰，即黑玉、煤玉
jew|n. [C] 犹太人；犹太教徒
key|n. [C]（地图中）对符号的说明
key|n. [C]（尤指墨西哥湾内的）小而低的岛屿或礁
lake|n. [C] 湖，湖泊
land|n. 1 [U]（也可用复数lands）一片土地，尤指某种类型的土地，或用于某种用途的土地，相当于terrain
land|n. [U] 地球表面的陆地。是此义的常规用词
landslide|n. [C]（也可用landfall）从山坡或悬崖的斜坡上滑落的大量土石等，如滑坡
lap|vi. 指水轻柔地拍打水岸或船只
latin|n. 1 [U] 拉丁语
latitude|n. [U]（缩写为lat.）（一个地方的）纬度
latitude|n. [pl.] latitudes可指纬度地区
lawn|n. [C] 草坪（院子里的草坪，草比较矮小，可在上面玩游戏）
ledge|n. [C] 悬崖上突出的一条窄窄的扁平岩石
legend|n. [C] [术语] 地图（或书中图表）的解释
level|n. [C, U]（与地面相对的）高度
level|n. [C] 土地的地层。并不强调沉积，也并不常用
longitude|n. [U]（缩写为long.）经度
lot|n. [C] 用于某一目的的一块土地
lower|adj. [只用于名词前]（一个地方）朝向海岸的；低洼的；向南的
mainland|n. [sing.] the mainland 可指一国国土的主体（不包括其任何岛屿）
map|n. [C] 地图
marsh|n. [C, U] 湿地；沼泽
meadow|n. [C] 草地，尤指为获取干草的一片草地
