plate|vt. 为…在外面加设金属板或其它硬质材料
pottery|n. [C] 制作陶器的一个地方
press|n. [C] 尤用于构成复合词，指用于对某事物施加压力（以使其变得平坦或从中榨取液体）的一种设备，可以叫压平机，压榨机或榨汁机
press|vt. 用压力将某种材料压成…
press|vt.＆vi. 按压设备的部位（以使其运转）
pump|n. [C] 迫使液体、气体从…中出来或进入到…中的一种机器，可以叫泵，可指水泵、气泵，也可指打气筒等
punch|n. [C] 在纸张、皮革或金属上打孔的一种工具或机器，如打孔机、穿孔器
put|vt. 把…安装到另一个物体上。是一个简单用词
race|vi.（发动机）运转过快
rack|n. [C] 机器的齿条、齿轨（轮子和齿轮可以安装进去）
radiator|n. [C]（车辆或飞机发动机的）冷却装置，如水箱
rebuild|vt. 重新装配
register|n. [C] [美]（供暖或制冷设备上使冷热空气吹进室内的）调风口，节气门
reservoir|n. [C] [术语] 引擎或机器中的储液器
rev|vt.&vi. ~ (sth) (up)（使）发动机快速旋转
roll|vt.＆vi.（机器）开动，启动或运转；使机器开动，启动或运转。是一个形象化用法，不过不太常用
sail|n. [C] 风车的一组翼板
seam|n. [C] 地下岩石间的一层薄薄的煤层或其它矿物层
section|n. [C] 整体结构中的一个部件，不太常用
sense|vt.（机器）发现并记录…
service|n. [U] 从机器上所得到的用途；还可指其使用状态
shaft|n. [C]（常构成复合词）（机器的）轴、传动轴
shield|n. [C] 保护机器或人员的防护罩、挡板
shop|n. [C] 尤用于构成复合词，指制作或修理物品的地方，尤指作为工厂的一部分，即车间，作坊
shuttle|n. [C] 织布用的梭子
sleeve|n. [C] 覆盖在机器的某个部位以对其起保护作用的一个管子，即套筒，套管
slide|n. [C] 乐器等装置上的前后滑动的一个部分
spare|n. [pl.] [尤英] spares 可指（机器的）备品，备件，相当于spare parts
spring|n. [C] 弹簧，发条（或类似原理的装置）
stamp|vt. stamp sth (out) (of/from sth) 用一种特殊的机器或工具把金属或塑料材料切削或塑造成某种形状，即冲压
start|vt.＆vi. 启动机器；（机器）启动。是一个广义用词
starter|n. [C] 车辆发动机的启动装置
steel|n. [U] 钢铁工业
still|n. [C]（制酒的）蒸馏器
technology|n. [U] 专指技术性机器或设备
trigger|vt. 使一个装置启动
tune|vt. 调整发动机或机器（使其运转正常）
turbine|n. [C] 涡轮机
unit|n. [C] 用于组成一个大机器的小机器，即装置；机件；部件；元件。该装置又常由若干个基础零件组成，来完成机器内部的某项任务
valve|n. [C]（设备上的）阀门、气门（使液体或气体只朝着一个方向流动）
vein|n. [C] 矿层；矿脉；岩脉
weight|n. [C]（用于把…固定在位置上的，或用作机器部件的）重物
weld|vt.&vi. ~ A and B (together) / ~ A (on) to B 焊接金属
wheel|n. [C] 机器的圆形零件，且常是移动的圆形零件
work|n. [C] the works 复数，专指机器等的活动部件，相当于mechanism
work|n. [C] works 复数，常构成复合词，指工厂
work|vi. 机器或装置等运转，运行。与operate类似，也算是一个常规用词，也较常用。不过operate常指机器设备运转，而work一般可指各种事物运转
working|adj. [只用于名词前]（机器中的部件）用于启动的、操纵用的
working|n. [usually pl.]（矿山或采石场的）矿坑，巷道
workshop|n. [C]（尤指以木材或金属为原材料）用工具或机械从事制造或修理活动的一个房间或建筑物，即车间、工厂、作坊
