abduct|vt.（尤指用武力）非法劫持、绑架某人，也可指诱拐
cause|n. [C] 诉诸法庭的案件，即诉讼案。cause强调在原告（该原告是一个尊重法律的人）看来对其有利的“诉讼案”，原告发起一个cause的目的暗含着对正义的追求。在用法搭配上，可以说一个action或suit被commenced（即诉讼被“提起”），但是一个cause（而非action）则通常被tried（即案件被“审理”）
cell|n. [C] 监狱或警局看守所的一间牢房
chair|n. [sing.] [美，非正式]（尤指美国用于处决犯人的）电椅；也可指此种电刑
charge|n. [C] 突然猛冲或暴力猛攻
charge|vt. charge sb (with sth/with doing sth) 正式控告或起诉
charter|n. [C] 说明某个组织机构（或某一群人）之权利、宗旨或原则的一种官方文件，常称为宪章、章程
chase|vt.&vi. ~ (after) sb/sth 为抓住某人或某事物而奔跑、驾驶等，即追赶、追逐、追捕
chastise|vt. [旧时] 体罚某人
check|n. [C] 也可用check mark，用于美式英语，指车票、入场券等票券
check|n. [pl.] [正式] 对一个人或一群人所拥有的权力（尤指政治权力）的大小进行约束的规定、条令。政治色彩较强
circuit|n. [C] 法官在某一地区的各个法院所进行的审判，即巡回审判
citation|n. [C] [美]（法院的）传唤
citation|n. [C] [美]（法院的）传票
cite|vt. [正式] [法律] 传唤、传讯（某人出庭）
civil|adj. 只用于名词前，民事的（非刑事的）
clamp|n. [C]（也可用wheel clamp）[均英] [美式用Denver boot或boot]（将违章停放的车辆扣在原地的）车轮夹锁
clause|n. [C] 法律文件等的条款
clean|adj. 1 虽然也可指清白，但强调的侧面则是无犯罪记录，守法
clear|adj. 清白无罪的。强调有良心或问心无愧。算是一个简单用词
clerk|n. 1 [C] 法庭的书记员
clue|n. [C] ~ (to sth)（帮助警方破案的）线索
code|n. [C] 国家或大型机构的法典；法规
collar|vt. [非正式] 紧紧抓住或逮住某人（使其不能逃走）
collateral|n. [U] [金融] 为获取借款而付出的抵押物（如房产或其它贵重物品）
commander|n. [C]（缩写为Cdr）（英国的）伦敦高级警官
commission|n. [U] [正式] 做出（错事）、犯下（罪行）
commissioner|n. [C] [美式英语中也可用police commissioner] 警察局长、警长
commit|vt. commit a crime, etc. 做出错事或非法的事，即犯错，犯罪。是此义的基本用词
commit|vt. 把某人送交法庭受审
commute|vt. ~ sth (to sth) [法律] 减刑
compensate|vt. compensate sb (for sth) 给予某人钱物补偿或赔款，即经济补偿。是此义的常规用词
compensation|n. [U, C] ~ (for sth) 因自己（或自己拥有的事物）遭到损害所得到的补偿或赔偿，尤指赔偿的金钱；也可指补偿或赔偿的行为
competence|n. [U] 一个法庭（组织机构、人）在处理某事时所具有的权力，可称为权限
complaint|n. 1 [C] ~ (about/against sb/sth) / ~ (that…) 投诉、控告
composite|n. [C] [美] 相当于Identikit，即艾登蒂基特容貌拼图（根据目击者描述拼制出人的面部像，尤指警方要捉拿的人）
con|n. [C] [非正式] 已被定罪并投入监狱的罪犯，相当于convict
concession|n. [C, usually pl.] [英]（通常指针对老人、学生和失业人员的）减价票
concession|n. [C]（尤指由政府或雇主给予的）特许权
condemn|vt. 1 condemn sb (to sth) 表“宣判”时，一般是做出惩罚性判决（而非做出无罪判决），如宣判某人有罪，尤指宣判死刑；宣告某项财产（如土地）收归国有；宣告某建筑物不适宜居住；判定食品、饮料等不适宜食用、饮用或消费；海商法中可指判决船只被没收充公、判决为战利品、或判决船只不适于使用或航行。与sentence多有交集，常用被动式
condition|n. [C] 你必须遵守的一项规则或决定，有时构成一份合同（或一份正式协议）的一部分，此时可称为条件、条款、要件
confine|vt. [常用被动式] ~ sb/sth (in sth) 关押在一个小的（或封闭的）空间
confinement|n. [U] 被迫停留在一个封闭的空间、监狱等的状态；也可指把某人置于此种状态的行为。如禁闭、监禁、关押
constable|n. 1 [C]（英国等国家中最低级别的）警察、警员，相当于police constable
constitution|n. [C] 一个国家或机构的宪法，章程
contest|vt. 正式反对一个决定或陈述，如争辩、提出异议
contingent|n. [C]（警队的）分队
contravene|vt. [正式] 违犯法律；违反规则
contravention|n. [U, C] 对法律或规则的违犯或违反
convict|n. [C]（也可用非正式的con） 已被判决有罪并被送进监狱的一个人，即已决犯、服刑囚犯
convict|vt. [常用被动式] ~ sb (of sth)（在法庭上）裁定并正式宣布某人有罪
conviction|n. [C, U] ~ (for sth) 判罪、定罪；被证明有罪
cop|n. [C] [非正式] 警察
copper|n. [C] [英，非正式] 警察
copyright|n. [U, C] ~ (in/on sth)（文字作品、音乐等的）版权；著作权
coroner|n. [C] 验尸官
correction|n. [U] [旧时] 惩罚，处罚
cost|n. [C] 复数形式costs可指某人在一个案件中付给律师等的诉讼费用
counsel|n. [C, U] [法律] 在法庭上代表某人的一个或一群律师
counsellor|n. [C] [美，爱尔兰] 律师
count|n. [C] 某人被指控所犯下的罪行
court|n. 1 [C, U] 法院，法庭
cover|vi. 包庇（做秘密或非法事情的人）。是此义的一个基础用词。但并不强调采用何种方法来包庇
crime|n. 1 [U] 违反法律的活动，即犯罪活动
criminal|adj. 1 常作前置定语，与犯罪有关的，涉及犯罪的
criminal|n. [C] 一个犯罪的人，即罪犯
crook|n. [C] [非正式] 不诚实的人，如罪犯
crown|n. [sing] the Crown可指英国刑事案件中的公诉人
cruelty|n. [C, U] 不公的事情
culprit|n. [C] 犯错的人；犯法的人
custody|n. [U] 法律上对某人或某事物的看管权，如监护权、保管权。也可指看管某人或某事物的行为
custody|n. [U]（尤指在候审时的）拘留、羁押
cut|vt. cut sth (with sth) 把毒品（如海洛因等）与另一种物质混合
damage|n. [pl.] damages 可指法院判定的由特定的人、公司等赔偿给某人的一笔钱（因赔偿方对此人造成了伤害），即损害赔偿金。是此义的常规用词，极为常用
deal|vt.＆vi. 买卖毒品，贩毒
dealer|n. [C] 贩毒者
decide|vt.＆vi. decide (for/against sb)做出正式裁决或法律裁决。是一个广义概念，即对法律问题进行考量后做出决定。既可指终局判决，也可指中间裁决。做出裁决的主体通常是法院，但也包括仲裁机关、行政机关或委员会等
decree|n. [C] 法院的裁定、判决
defend|vt.＆vi. 在法律上为…辩护，当辩护律师
defendant|n. [C] [法律] 被告人
defender|主要指“辩护人”，其中就包含“辩护律师”。
delinquency|n. [U, C]（通常指青少年的）恶劣行为或违法犯罪行为
delinquent|adj.（尤指青少年或其行为）有犯罪倾向的
demon|n. [C] 强大的恶人，如魔头
den|n. [C] [贬] 窝点，尤指非法或邪恶活动的秘密聚会处
denounce|vt. 向警方或当局告发、检举（某人的非法政治活动）
denunciation|n. [C, U] 告发、检举
deposition|n. [C] 法律上指未出庭的人（如罪案的目击证人）所提供的一份正式的书面陈述，可用于法庭作为证人陈述，可称为书面证词
deputy|n. [C]（在美国）协助地方治安官办案的警官
dereliction|n. [U, sing.] [正式或法律] ~ of duty 在自己的职责范围内没有尽职，即玩忽职守、渎职
detain|vt. 扣留、拘留（在警察局、监狱）
detainee|n. [C] 通常因政治主张或政治活动而被拘留或扣押的一个人
detective|n. 1 [C] 以侦查犯罪和逮捕罪犯为职业的人，即侦探，尤指警探
detention|n. [U] 拘留、扣押、监禁
determine|vt. [正式] 裁决，一般是最终判决（但是初审法院做出的此种判决可以上诉）。具有古语的味道
dirty|adv. [非正式] play dirty 可指行为（或在比赛中）不公平
discipline|n. [U] 纪律、风纪
discipline|vt. ~ sb (for sth)（为某人的所作所为）惩罚某人
dismiss|vt. 驳回（或不受理）法律案件，通常由于证据不足
dismissal|n. [U, C] [法律] 诉讼的驳回、不予受理（通常因为证据不足）
do|vt. [英，非正式] do sb (for sth) 惩罚某人
do|vt. [非正式]（从某个地方）偷窃、偷盗
dock|n. [C] 法庭的被告席
effective|adj. [正式]（法律、协议、规则等）生效的、起作用的
embezzle|vt.&vi. 盗用、挪用、偷取自己所负责（或自己的雇主）的钱
enactment|n. [U, C] [法律] 制定出来的法律、法规
enactment|n. [U, C] [法律]（法律在议会或其它立法机构的）制定、通过
enormity|n. [C, usually pl.] [正式] 非常严重的罪行，如滔天罪行；罪大恶极
entrant|n. [C] ~ (to sth) 新警员
equity|n. [U] [正式] 公平、公正（即每个人均受到公平对待的一种情况）
equity|n. [U] [法律，尤英] 衡平法
etiquette|n. [U]（尤指特定行业的）行为规范，规矩
evidence|n. [U] 法庭上的证据。是此义的常规用词，极为常用
examine|vt.（尤指在法庭上）正式地问某人一些问题，即审问、查问
exhibit|n. [C]（在法庭上出示的）物证，证据
exile|n. 1 [U, sing.]（通常因为政治原因或作为一种惩罚而进行的）流放、放逐、流亡
extradition|n. [U, C]（对嫌犯或罪犯的）引渡
fair|adj. fair (to sb) 根据规则或法律而对所有人一视同仁，即公正的，反义词为unfair
fairness|n. [U] 公平、公正、公道
felon|n. [C] [尤美，法律] 重罪犯
felony|n. [C, U] [旧时，法律] 严重的罪行（如谋杀、强奸、持械抢劫等）
fence|n. [C] [非正式] 买卖偷盗而来的赃物的罪犯，可叫做销赃贩
fetter|n. [pl.] fetters 尤指旧时囚犯所戴的脚镣
fight|vt. fight sb (for sth) 和某人打官司，是一个形象化用词
file|vt.＆vi. file (for sth) 法律上可指呈交…（以使其能够得到正式记录或处理），如提起诉讼、投诉或提出请求。较为正式
find|vt.＆vi. [正式]（法庭上）判决，裁决
finding|n. [C] [法律] 法官在法庭上的判决或裁决
fine|n. [C] 由于破坏法律、法规或规则而被处以的罚款、罚金
finger|vt. [尤美，非正式] finger sb (for sth) / finger sb (as sth) 向警方告发某人
fix|vt. [非正式] 常用被动式，以不诚实、不公平的方式操纵某事的结果，如操纵比赛、选举、价格等
fix|vt. [非正式] 惩罚对你造成伤害的人，使其不再对你造成伤害，即收拾
