abduct|vt.（尤指用武力）非法劫持、绑架某人，也可指诱拐
plant|n. [C, usually sing.] [非正式] 用来栽赃的物品
plea|n. 1 [C] [法律]（被告或被告律师在法庭上表明对于被指控的罪名服或不服的）答辩、辩护、抗辩
plead|vt. 向法庭陈述案情
plead|vt.&vi. 在法庭上作有罪或无罪答辩
pledge|n. [C] 用于抵押或质押的一笔钱或重要物品
poach|vt.&vi. ~ (sb/sth) (from sb/sth)（尤指秘密地、耍手段或不公平地）侵犯职权等
poach|vt.&vi. ~ (sb/sth) (from sb/sth)（尤指秘密地、耍手段或不公平地）窃取资料、盗用想法等
police|n. [pl]（通常用the police）警察部门，是一种警务组织，也可叫警方；还可指在警察局工作的一个人，即警察。是此义的基础通用词
post|vt. [尤美] post bail/(a) bond 向法院交纳保释金（这样犯人就能在审判前不必待在看守所而自由行动）
precinct|n. [C] [美] 城镇中的一片警区；分区警察局、分区派出所
prerogative|n. [C] [正式]（某人或某个群体因其重要性或社会地位所具有的）特权、独有的权力
prescribe|vt.（当权者、当局、法律、规则）规定、命令、指示
presence|n. [sing.] 被派到某地去处理事情的一群警察
principal|n. [C] [术语]（尤指在法律事务中）你所代表的一个人，即当事人，委托人
prison|n. 1 [C, U] 监狱，看守所，相当于jail。是此义的基础和常规用词，最为常用
prisoner|n. 1 [C] 囚犯，或被羁押等候审判者
privilege|n. 1 [C] 某个人或团体所拥有的一种特殊权利
privileged|adj.（有时贬）有特权的
probation|n. [U] [法律] 缓刑制度；缓刑
proceeding|n. [C, usually pl.] [正式] ~ (against sb) (for sth) 诉讼；诉讼程序
procure|vt. 给妓女介绍客户，即拉皮条
proof|n. [U, C] ~ (of sth/that…) 法律上的证据
proposition|n. [sing.]（也可用Proposition）（美国）法律修正议案
prosecute|vt.&vi. ~ (sb) (for sth/doing sth) 正式起诉某人（某项罪行）
prosecution|n. [U, C]（被）起诉、检举
prosecution|n. [sing.] the prosecution可指原告、控方（包括原告和控方律师等）
prosecutor|n. [C] 公诉人、检察官
prosecutor|n. [C] 原告律师、控方律师
prosecutor|主要指“检控方（如检察官、公诉人、自诉人）”，个别情况下可指“控方律师”（不过表此义时极不常用）。
provide|vt. [正式]（法律或规则）规定某事将发生或规定其必须发生，即规定，相当于stipulate
provision|n. [C]（法律文件的）条款
provision|n. [C]（法律文件的）规定
provision|也可翻译为“条款”（或“规定”），但作为clause的一种，provision一般表示原始性条款（grandfather clause）。它可以衍生出一些派生条款，并对这些派生条款起到限定作用。当不确定一个clause是否是provision的时候，只要用clause就可以了，因为clause可指任何类型任何长度的“条款”。
pull|vt. [非正式]（对某人耍手腕）得逞；已犯下（罪行）等
punish|vt. 1 punish sb (for sth/for doing sth) 使某人因犯罪或犯错而遭到处罚，即惩罚。是此义的常规用词，极为常用
punishment|n. [U, C] punishment (for sth) 对某人所进行的惩罚，处罚，可以是惩罚的过程，也可以是惩罚的结果。是此义的常规用词，极为常用
pursuit|n. [U] 对某人的跟随或追赶
push|vt. [非正式] 贩卖毒品
rack|n. [C]（通常用the rack）旧时的拉肢刑具
racket|n. [C] [非正式] 对钱财的不正当（或非法）获取，即非法的赚钱勾当
raid|n. [C] ~ (on sth) 犯罪分子对建筑物等的突袭，如打劫
rank|n. 1 [C, U] 警察等组织中某人所具有的级别，即警衔
ransack|vt. ~ sth (for sth) 为找东西而把某处翻得乱七八糟（且造成损坏），如洗劫
rap|n. [C] [美，非正式] 罪名；刑事责任；判刑
rape|vt. 强奸
rapist|n. [C] 强奸犯；实施强奸者
rat|vi. [非正式] rat on sb 把某人做的坏事向当局告发
rebound|vi. ~ (on sb) [正式] 某人对别人所做的坏事报应于（或反作用于）自己
receive|vt.＆vi. [尤英] 购买（或接受）赃物（即你知道是被盗的物品）
receiver|n. [C] 由法院所指定的破产公司的接管人，也可用official receiver
receiver|n. [C] 购买（或接受）被盗的物品（即赃物）的人
recompense|n. [U] [正式] ~ (for sth/sb)（对不幸遭遇的）赔偿（常指经济赔偿）
record|n. [C] 以前的犯罪记录，即前科，也可叫criminal record
recorder|n. [C] 在美国可指“法律文书登记官”，是一种被任命记录或登记契据和其它法律文书的官员
recorder|n. [C]（英国和美国一些地区的）法庭的法官
recruit|n. [C] 新警员
redress|n. [U] [正式] ~ (for/against sth)（因受害而获得的）赔款
referee|n. [C] 争端的调解人，仲裁员
regulation|n. [C, usually pl.] 由政府或其他当权者制定的正式或官方规则，即规章，规定
reimburse|vt. [正式] ~ sb (for sth) 补偿（某人损失的钱）
reinforcement|n. [pl.] reinforcements可指被派到某地的（警队的）增援警力
relax|vt. 放宽规则、法律等限制（使其不再那么严格）
relaxation|n. [U, C, usually sing.]（对规章制度或管控措施的）放松、放宽
relaxed|adj. ~ (about sth) 不用纪律加以约束的，或不用让人们遵守规则的
remand|vt.&vi. [常用被动式] 将（嫌疑人从法庭上）还押候审；使某人取保候审（即被保释以等待审批）
remedy|n. [C] [法律] ~ (against sth)（通过法律程序获得的）补偿、赔偿
report|vt. report sth (to sb) / report sb (to sb) (for sth/for doing sth)（向当权人士）举报或告发（罪行、某人所做的坏事等）。是“报案”的常规用词
reprieve|vt. [常用被动式]（通常不用于进行时）官方撤销…的死刑；官方延缓…的死刑（即缓期执行死刑）
reserve|vt. 持有或保留某种权利
retribution|n. [U] [正式] ~ (for sth)（对某人所犯的严重错误所实施的）严惩
return|vt. return a verdict 指法官或陪审团应正式请求而“宣告”一个裁决
reward|n. [C] 为帮助警察找到罪犯或帮助失主找回丢失物品所获得的悬赏金
rifle|vt. 从某处偷窃、盗取某事物
right|n. 1 [C, U] right (to sth / to do sth)指道德或法律上（对某事物或行为方式）的正当要求，权利
ring|n. [C] 在一起工作的一群人（尤指秘密或非法地进行），如团伙，集团，帮派等
rob|vt. rob sb/sth (of sth) 对一个人或地点进行抢劫或盗窃
robber|n. [C] 劫匪、抢劫犯、强盗
robbery|n. [U, C]（尤指通过暴力手段）从银行、商店、人的身上盗取钱财或物品的一种罪名，如抢劫
rod|n. [C]（也可用the rod）[旧时] 责打人用的棍棒
rough|adj. 1 不温柔或不小心的，粗暴的，粗野的，猛烈的。如果说violent强调力量之大且突然，那么rough则强调行为的性质之粗野
rule|n. [C] 在某个情况、活动或游戏中所遵循的规则
rule|vt.＆vi. rule (on sth) 既可指对某事做出官方决定或裁定，是一种正式用法，与pronounce近义；也可指裁决（庭审中的）一个争议点
ruling|n. [C] ~ (on sth) 当权者（尤指法官、法院）作出的正式裁决、判决
run|vi. run (for sth) 在一段时间内有效
runner|n. [sing.] 用于构成复合词，走私者；偷运者
running|n. [sing.] 构成复合词，指（毒品、枪支等的）走私、偷运
rustle|vt. 偷窃牲口
sack|n. [sing.] [正式]（通常用the sack）（在攻陷的城镇中的）抢劫，劫掠或毁坏房屋
safe|adj. 在法律上可指基于确凿证据的
sanction|n. 1 [C, usually pl.] ~ (against sb)（对一国所实行的贸易等领域的）制裁
savage|vt. [常用被动式]（动物）凶恶地攻击某人（造成重伤）
say|n. [sing., U] say (in sth) 在某事尚未决定前，发表观点以影响该事件或决定的权利，如发言权或决定权（在“发言权”之义下与voice相近，只不过say的使用范围更广一些，而voice则更正式一些）
scaffold|n. [C] 断头台；绞刑架
scalp|n. [C] [非正式] 对…的惩罚，（表示某人已被打败或已受到惩罚的）标志
screen|vt. screen sb from sb/sth 保护某人使其免遭危险或不愉快，尤指保护犯法或不道德的人，即包庇，袒护，相当于shield
seal|n. [C] 印在一份文件上的印章或图章，该图案带有某人或某个机构的权威性，也因此而表明了该文件的真实性
section|n. [C] 条款
secure|vt. 借贷中可指抵押
security|n. [U, C] 贷款的抵押品
seize|vt. 1 逮捕、俘虏或捉拿某人。是此义的常规且专业用词
seizure|n. [U, C] ~ (of sth) 利用法律所赋予的权力拿走某人的东西，如起获、没收、充公；也可指一定数量的被起获、没收或充公的事物
self-defence|n. [C] 自我辩护
sentence|n. [C, U] 法庭上所做出的判决，且专指刑法上的有罪判决，通常是法官（而非陪审团）对经过审理而被定罪的刑事被告人所做出的判决。是此义的常规用词，极为常用
serve|vt. serve sth (on sb) / serve sb with sth 法律中可指把官方文件送达某人，尤指送达要求对方出庭的文件
serve|vt.（在监狱中）服刑一段时间
service|n. [U] 法律中可指官方文件等的正式送达（即交给某人）
session|n. [C] 法庭开庭处理业务的一段时间。狭义上可指每日的“开庭期”或“庭审期”；但在广义上也可指从第一次开庭到最终休庭之间的整个时间段（此期间也许包括若干天、若干周，甚至更长的时间），在此意义上与term或sitting同义，很多权威人士都将session与term作为同义词而互换使用
settlement|n. [C] 和解补偿金
shackle|n. [p.] shackles 可指（囚犯的）镣铐、手铐、脚镣
shield|n. [C] 警察用的高强度塑料防暴盾牌
shield|vt. 包庇、窝藏
shop|vt. shop sb (to sb) 在英式非正式用法中可指告发某人犯罪了，尤指向警察告发
shoplift|vt.&vi. 在商店行窃（即在商店里把货品藏在包里或衣服里而偷走）
shoplifting|n. [U] 冒充顾客在商店行窃（罪）
silk|n. [C] [英] 代表政府（即国王或女王）的一种律师，即王室律师
sit|vi.（法庭）开庭
skim|vt. [非正式] 在一段时间内经常偷盗少量的钱
smuggle|vt. 将货物（或人员）秘密或非法地带进（或带出）一个国家等，如走私、私运、偷运
smuggling|n. [U] 走私（罪）
sneak|vi. ~ (on sb) (to sb) [旧时，英，贬] 向成年人告另一个孩子的状，尤其旨在引起麻烦
sneak|vt. [非正式] 偷走小东西或不重要的东西
solicitor|n. 1 [C] [英]（英国向委托人提供法律咨询、准备法律文件和诉讼材料并在初级法院代表委托人出庭的）事务律师
solitary|n. [U] [非正式] 单独监禁，单独禁闭，相当于solitary confinement
spank|vt. 用手打屁股很多次（作为一种惩罚），尤指打小孩的屁股
specify|vt.（尤指通过给出具体的信息）明确规定
spoil|n. [pl.] [正式或文学] the spoils 可指被小偷拿走的赃物
spree|n. [C]（尤用于报章）一阵犯罪活动
squad|n. [C]（专门处理某类犯罪的）警察分队
square|adj.（尤指在生意上）公平的
squeal|vi. [非正式，贬] ~ (on sb) 向警方告发
stake|n. [sing.] the stake 指木质火刑柱（以前将人绑在上面烧死作为惩罚）
stand|n. [C] 法庭上的证人席，相当于witness box
status|n. 1 [U, C] 一个人（或群体、国家）的法律身份
statute|n. [C] 成文法；法令；法规
statute|n. [C] 组织机构的章程、条例、规章
steal|vt.＆vi. steal (sth) (from sb/sth) 偷，窃取物品，也可指剽窃观点。是“偷窃”的基本通用词，含义广泛，也最为常用
stipulate|vt. [正式] 明确地规定（某事必须被执行或其必须以何种方式被执行）
stipulation|n. [C, U] 规定
stipulation|专指契约（而非其他类型的法律文件）中具有实质性内容的“规定性条款”。该词强调以契约的形式来“规定…”或“约定…”（即约定各方必须做某事，或必须不做某事）。
stock|n. [pl.] stocks可指过去用于惩罚犯人的足枷，尤指在公共场所所戴的足枷
stretch|n. [C, usually sing.] [非正式] 某人的服刑期
strike|vi. 攻击或袭击人或事物，尤指突然袭击
sue|vt.&vi. ~ (sb) (for sth)（通常为索赔而）对…提起诉讼、控告
suit|n. [C] 法律诉讼或起诉，相当于lawsuit
summon|vt. [正式] 传唤（某人出庭）
summons|n. [C] [美也用citation] 法院的传唤
summons|n. [C] [美也用citation] 法院的传票
super|n. [C] [英，非正式]（英国的）警官；（美国的）警长
suspect|n. [C] 被怀疑犯了罪或做错了事的人，即嫌疑人，可疑对象
suspect|vt. suspect sb (of sth/of doing sth) 怀疑某人有罪，但没有明确证据
swipe|vt. [非正式] 偷窃
tariff|n. [C] [英，法律] 量刑标准
technical|adj. 只作前置定语，与法律细节或一系列规则相关的
tenure|n. [U]（在一个固定期间内的）房屋居住权或土地使用权
term|n. [C, pl.] terms 可表示协议、条约等的条款
testify|vt.&vi. ~ (against/for sb) / ~ (to/about sth)（对发生的事或某事的真实性）作证，尤指出庭作证
testimony|n. [C, U]（尤指在法庭上的）正式的书面或口头证词
theft|n. [U, C] theft (of sth) 偷窃，偷窃罪，盗窃案
thief|n. [C] 小偷
thread|n. [C] 线索
thug|n. [C] 一个暴力的人，尤指暴力罪犯，可称为恶棍、暴徒、罪犯
ticket|n. [C] ticket (for/to sth) 交通工具的票（如车票）、剧院等的入场券等。是“票”的基本和常规用词，含义极广，也极为常用
tip-off|n. [C] [非正式] 举报者所提供的秘密消息
title|n. [U, C] title (to sth/to do sth)拥有某事物的合法权利，尤指对土地或财产的所有权；还可指能够昭示这种所有权的凭证
tort|n. [C, U] [法律] 侵权行为（不构成刑事犯罪但可引起民事诉讼）
torture|n. [U, C]（为了惩罚某人、获取情报或迫使某人去做某事所进行的）拷打、拷问、酷刑
tough|n. [C] [旧时，非正式] 经常对他人使用暴力的一个人，如粗暴的人，暴徒等
trace|vt. ~ sb/sth (to sth) 通过仔细寻找而找到某人或某事物
traffic|n. [U] traffic (in sth) 非法交易（如毒品或赃物等）
trail|n. [sing.] on the ~ of 努力追踪或寻找某人或某事物
transport|vt.（在旧时）把某人流放到一个遥远的地方以作为一种惩罚
transportation|n. [U]（旧时的）对罪犯的流放（即将罪犯流放到偏远之地作为惩罚）
trespass|vi. ~ (on sth)（未经许可或没有权利而）擅自进入、非法闯入（土地或建筑物）
trespass|vi. 旧时用法，指做错事
trial|n. [U, C] 通常意义上的“审理”、“审判”，可以包括从法院立案到做出裁决的全过程，也可指法庭审讯（即“庭审”）。是此义的常规用词
tribunal|n. [C] 处理某一问题或争议的、带有权威性的一种法庭
truncheon|n. [C] 警用短棍
trust|n. 1 [C] [尤英] 信托机构或团体
trustee|n. 1 [C]（财产的）受托人或受托机构
try|vi. try sb (for sth) / try sth在法庭上检察证据并判定某人是否有罪，即审判、审理、审讯
tutelage|n. [U] [正式]（一个人、组织机构、国家等给予另一个人、组织机构、国家等的）保护、监护、托管
unbalanced|adj. [常用于名词前] 对某事物的一部分或一方面赋予过多（或过少）重要性的，如不公平的
unbiased|adj. 公正的，不受其他人的观点或意愿等影响的、无偏见的
unblemished|adj. [正式]（某人的记录、名誉、性格等）没有污点的、清白的
under|prep. 根据或按照（一项协议、一部法律或一项制度）
underworld|n. [sing.]（在某地从事犯罪活动的）黑社会、黑帮、黑道
uneven|adj. 组织得不规则或不公平的
unfair|adj. unfair (on/to sb)（根据一系列规则或原则）不公平的，不公正的，待人不平等的。是此义的基础通用词，词义范围最广（主语可以是人、事件、行为、标准等）
unorthodox|adj.（某人的行为、信仰、习俗、做事方式）非法的
unscrupulous|adj. 不公正的
valid|adj.（票或其他文件、行为）为法律或官方所认可的，是此义的常规用词
validity|n. [U] 法律上的有效、合法；官方的认可
verdict|n. [C]（陪审团或法官作出的）裁决、裁定
veto|n. [C, U] 否决权，尤指当权者对立法机构通过一部法律所行使的否决权或对一项决策的否决权
vice|n. [U] 涉性或涉毒的犯罪活动
villain|n. 1 [C] 道德低下且喜欢制造麻烦的人，即恶棍、坏蛋
violate|vt. 1 [正式] 违反或拒绝遵守法律、协议等
violation|n. [U, C]（对法律、协议或承诺的）违反
violence|n. [U] violence (against sb) 意在伤害或杀害某人的暴力行为
violent|adj. 涉及肢体暴力的，或由肢体暴力引起的。是此义的基础和常规用词，最为常用
voice|n. [sing.] voice (in sth) 表达看法（并影响决策）的权利
void|vt. [法律] 正式宣布…在法律上无效
vouch|vi. vouch for sb/sth 你相信某人行为良好（因此你愿意为其行为负责），即替…担保（或保证）
vouch|vi. vouch for sth（因有证据而）为…作证
vulture|n. [C] 乘人之危的人；趁火打劫的人
wanted|adj. 受通缉的
ward|n. [C] 受法院或监护人保护的一个人，即受监护人，尤指儿童
warrant|n. [C] ~ (for sth) / ~ (to do sth) 法官发出的、授予警方去执行的一份法律文件（如搜查令、逮捕令等）
weapon|n. [C] 打架或袭击用的东西，可称为凶器
well|n. [C] [英] 法庭中法官前面的律师席
whip|vt. [英，非正式] 偷、盗窃
whip|vt. 用鞭子抽打一个人或动物（作为一种惩罚，或让其走得更快或工作更努力）
witness|n. 1 [C] 法庭上的证人
wrong|n. [C] [正式] 违法行为，不公平、不诚实或不道德的行为，反义词为right
wrong|n. [C] 冤屈，冤枉
